number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_num_leaves,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.7951990540775891,2022-07-29 03:43:37.134571,2022-07-29 04:15:38.718854,0 days 00:32:01.584283,0.2117358188902784,107,0.03545897352935165,19.665238420674108,1.7325786987137852,0.7182034238664746,COMPLETE
1,0.7946326722021975,2022-07-29 04:15:38.720092,2022-07-29 04:51:31.726391,0 days 00:35:53.006299,0.24012591072926678,112,0.04272441896807839,8.493242025957205,1.6374833210527506,0.683979340769933,COMPLETE
2,0.7952879877784286,2022-07-29 04:51:31.727066,2022-07-29 05:00:37.160492,0 days 00:09:05.433426,0.2427094046695906,106,0.010278632831699793,7.959416029108889,1.7623194834565257,0.7382419223970894,COMPLETE
3,0.795027177319009,2022-07-29 05:00:37.170322,2022-07-29 05:35:14.543992,0 days 00:34:37.373670,0.24624875773788243,116,0.010453835336654525,5.280905009684959,1.5794818896439176,0.7186558458421495,COMPLETE
4,0.7950434276034675,2022-07-29 05:35:14.545466,2022-07-29 06:10:02.834035,0 days 00:34:48.288569,0.2091319912452137,88,0.07734290172021904,15.609216595809356,1.367447022406104,0.716028795253094,COMPLETE
5,0.7955195888009693,2022-07-29 06:10:02.835018,2022-07-29 06:46:57.128561,0 days 00:36:54.293543,0.23786642717649065,76,0.05406770495105797,14.030963779272216,1.8545853450561738,0.6718842005852277,COMPLETE
6,0.7952078297852504,2022-07-29 06:46:57.129502,2022-07-29 07:19:31.398416,0 days 00:32:34.268914,0.2344473301187668,87,0.06637487509420559,6.484752073496559,1.5906570610534294,0.674610885814176,COMPLETE
7,0.7942580425076071,2022-07-29 07:19:31.399761,2022-07-29 07:28:16.288871,0 days 00:08:44.889110,0.20013455405750108,113,0.09634085809904996,6.8317394893364,1.4456381987160818,0.718476744468847,COMPLETE
8,0.7946409933993643,2022-07-29 07:28:16.298937,2022-07-29 07:37:16.176247,0 days 00:08:59.877310,0.23922760949984864,105,0.07381178135605203,10.654995489328723,1.5203388701727483,0.7370152913455944,COMPLETE
9,0.794919582364947,2022-07-29 07:37:16.179792,2022-07-29 08:08:40.770623,0 days 00:31:24.590831,0.20504967038135208,92,0.04461987943078394,26.370647909971847,1.6004849288835716,0.7328795380131685,COMPLETE
10,0.7946770501101812,2022-07-29 08:08:40.772263,2022-07-29 08:41:09.822491,0 days 00:32:29.050228,0.22477213265947651,76,0.01975496693587226,14.080355274896306,1.9695624046183238,0.6546104982227966,COMPLETE
11,0.7954061384154407,2022-07-29 08:41:09.823444,2022-07-29 09:15:27.144188,0 days 00:34:17.320744,0.22939880490169093,99,0.018996440189105575,10.31222813561573,1.8248241334399973,0.6894693507497545,COMPLETE
12,0.7950862437850525,2022-07-29 09:15:27.145373,2022-07-29 09:47:13.254606,0 days 00:31:46.109233,0.2270315762344592,76,0.021124743525093692,10.959553587761091,1.8956810464408154,0.6875193244012764,COMPLETE
13,0.7946444330959612,2022-07-29 09:47:13.255935,2022-07-29 09:55:42.761822,0 days 00:08:29.505887,0.22681020273897132,96,0.0232174381040338,18.67231472689232,1.8317938742154378,0.6603839472522337,COMPLETE
15,0.795155459301177,2022-07-29 12:03:00.933167,2022-07-29 12:32:31.178222,0 days 00:29:30.245055,0.21915300554566775,83,0.013794556691384505,12.348108964999765,1.9974732420451462,0.7021726570576217,COMPLETE
16,0.7950223149106046,2022-07-29 12:32:31.180001,2022-07-29 13:03:23.825415,0 days 00:30:52.645414,0.2344642034435775,99,0.02876226444143497,9.802143399783427,1.7457412322132513,0.6696975335831319,COMPLETE
17,0.7947627289771713,2022-07-29 13:03:23.826882,2022-07-29 13:34:52.689278,0 days 00:31:28.862396,0.23384346301209671,120,0.015336509719666208,24.830501842573213,1.8789410282114596,0.6983329351407987,COMPLETE
