temp_diff,temp_diff_abs,temp_product,temp_sum_sq1,temp_sum_sq2,temp_product_sq1,temp_product_sq2,temp_product_log1,temp_product_log2,temp_ratio1,temp_ratio2,temp_ratio1_sq,temp_ratio2_sq,col1,col2
0.8627114934063428,0.5245364254186334,0.5985622040404805,0.6030150715649181,0.721831769963786,0.7035572016451769,0.5099986421158201,0.8520877027747632,0.8478414333134938,0.8502437181164078,0.8511635175119895,0.8480722913665063,0.855696785499696,B_1,B_10
0.7271072152192676,0.798470944448182,0.8313401436911152,0.8319596887443591,0.8340318949739676,0.8322588794074979,0.8308350408937499,0.7259154395233879,0.5749604152101558,0.5548301472117314,0.7531669711161432,0.8140358030973863,0.822750333724678,B_1,B_11
0.818680497785078,0.746672833166904,0.6024183203019586,0.645918240064394,0.797799136667531,0.6491734564418373,0.5435399577882505,0.8009087242766978,0.8149720408711807,0.8319228387743258,0.7258271869993251,0.8410442837333216,0.7133660079185372,B_1,B_12
0.812942417690305,0.7424889405907062,0.6538120569789436,0.6609506402574001,0.7967715314982873,0.6957761492017659,0.5980385741958708,0.770532465716486,0.8032053147035922,0.8268356406969691,0.6299663668547013,0.8414698436920236,0.6117302780250456,B_1,B_13
0.7732370396106348,0.7870688185084848,0.7910934193651354,0.7571130068974481,0.8152818324207965,0.8111279901615269,0.7672474101742516,0.6115659531368685,0.7401149967820222,0.7677346547295265,0.5150426529989095,0.8344738455770875,0.6027216199564824,B_1,B_14
0.7933220410747607,0.8036532078424913,0.7925525425070817,0.7879113638377693,0.8217999827578306,0.8167407017990999,0.7679187152282163,0.7955252583959862,0.8226501559178508,0.8103083683871821,0.8054272374860907,0.828037243863172,0.7687586160087551,B_1,B_15
0.7640062113119355,0.7884446209751316,0.8152744985649101,0.809142061157806,0.8086547709720914,0.8166876719408597,0.8117269115552352,0.5448308852618198,0.7928273173959772,0.6415823115281875,0.5929205903695565,0.671398088776662,0.6592102727878786,B_1,B_16
0.5941662612440882,0.6070074871989085,0.7368887973058803,0.71245161730137,0.7150720242537327,0.7355735706334475,0.7373068006386136,0.5147960805178681,0.5786222774692906,0.5504107962968052,0.5506875693238412,0.5756537931231552,0.5700810060168144,B_1,B_17
0.853389590895192,0.8530886727091441,0.6912788795849812,0.8450305836511474,0.8452169929420682,0.7539100207567575,0.5476848449252902,0.8488946389904695,0.7505314837365599,0.8459472602815736,0.8477423826577082,0.8434729006033486,0.8492969214242629,B_1,B_18
0.6870392055286352,0.8347741012680472,0.7666085082876849,0.8374608016398475,0.8373685019011852,0.766415697669681,0.766354914299034,0.7107326874404336,0.7641184287869429,0.5589150371505099,0.7400487041791814,0.5691687159959409,0.7475209072895878,B_1,B_19
