col1,col2,cross_type,agg_type,benchmark,challenge,improvement
D_88,D_108,sigmoid_subtract,max,0.725,0.9489795918367347,30.89373680506687
D_88,D_108,sigmoid_add,last,0.725,0.9489795918367347,30.89373680506687
D_88,D_108,sigmoid_subtract,last,0.725,0.9489795918367347,30.89373680506687
D_88,D_108,sigmoid_add,mean,0.725,0.9489795918367347,30.89373680506687
D_88,D_108,sigmoid_subtract,mean,0.725,0.9489795918367347,30.89373680506687
D_88,D_108,sigmoid_add,max,0.725,0.9489795918367347,30.89373680506687
D_88,D_108,sigmoid_add,min,0.725,0.9489795918367347,30.89373680506687
D_88,D_108,sigmoid_subtract,min,0.725,0.9489795918367347,30.89373680506687
B_1,B_42,sigmoid_subtract,min,0.7573565685953523,0.8994621516418716,18.763365756512616
B_37,B_42,sigmoid_subtract,min,0.7573565685953523,0.8949051805752606,18.161671487845656
R_9,D_44,sigmoid_subtract,min,0.725,0.8531702862624844,17.67866017413578
R_18,D_44,sigmoid_subtract,min,0.725,0.8481048494292509,16.979979231620817
B_15,D_44,sigmoid_subtract,min,0.725,0.8464008027701532,16.744938313124578
D_45,D_55,sigmoid_subtract,min,0.725,0.8463560869560953,16.73877061463384
P_3,B_38,sigmoid_subtract,min,0.741403147841732,0.8654284876313736,16.728461451868206
B_26,D_44,sigmoid_subtract,min,0.725,0.8453669685388148,16.602340488112386
R_11,D_44,sigmoid_subtract,min,0.725,0.8443812914193763,16.46638502336226
B_41,D_44,sigmoid_subtract,min,0.725,0.8432210077254423,16.306345893164455
P_3,B_33,sigmoid_add,min,0.741403147841732,0.8599787815461681,15.993408451207248
R_7,B_2,sigmoid_subtract,max,0.725,0.8387523636747994,15.689981196524064
P_3,B_20,sigmoid_subtract,min,0.741403147841732,0.8575854078196221,15.67059167689043
S_15,B_2,sigmoid_subtract,max,0.7281154878393502,0.8392064296971722,15.257324382355788
S_24,B_2,sigmoid_subtract,max,0.725,0.8325698746172177,14.837224085133474
B_33,B_42,sigmoid_add,min,0.7573565685953523,0.8688356061069867,14.719491734044304
R_27,B_3,sigmoid_subtract,min,0.725,0.8299836768080167,14.480507145933336
R_15,B_2,sigmoid_subtract,max,0.725,0.8277622703977215,14.174106261754698
R_3,B_33,sigmoid_subtract,max,0.725,0.8267984800578889,14.041169663157097
R_14,B_2,sigmoid_subtract,max,0.725,0.8259070574955012,13.918214826965686
B_33,D_58,sigmoid_subtract,min,0.7368005456973958,0.8383917986084345,13.788162007247237
B_16,B_42,sigmoid_subtract,min,0.7573565685953523,0.8614423262057945,13.743296345007893
R_18,B_3,sigmoid_subtract,min,0.725,0.8239445388006592,13.647522593194378
S_22a,D_44,sigmoid_subtract,min,0.725,0.8236833516304503,13.611496776613832
S_3,D_44,sigmoid_add,min,0.7273290662778653,0.824197308081323,13.318351526797167
R_3,D_78,sigmoid_add,mean,0.725,0.818000156376058,12.82760777600801
R_3,D_78,sigmoid_add,max,0.725,0.8179933661037148,12.82667118671928
D_44,D_47,sigmoid_subtract,min,0.725,0.8149266170574913,12.40367131827466
D_50,D_58,sigmoid_subtract,min,0.7368005456973958,0.8281504229303702,12.39818262437767
S_7,B_2,sigmoid_subtract,max,0.7549897721745197,0.8483859940661675,12.370528096380472
B_9,D_76,sigmoid_subtract,min,0.7473913309165345,0.8389252238686191,12.247117295277633
B_28,D_76,sigmoid_subtract,min,0.7473913309165345,0.8384994535021033,12.190149767169741
S_26,B_38,sigmoid_subtract,min,0.7283199912856353,0.8168295437947,12.15256392356154
R_28,B_2,sigmoid_subtract,max,0.725,0.8121895649572203,12.026146890651077
R_23,B_2,sigmoid_subtract,max,0.725,0.8121380336128243,12.019039119010255
S_8,D_78,sigmoid_subtract,min,0.7255811934576102,0.8127691564191208,12.016293110635088
R_19,B_3,sigmoid_subtract,min,0.725,0.8120521184354261,12.007188749713952
