base_feature,acceleration,avg,coef_var,displacement,first,general_trend,last,last_minus_avg,ma3_r1,ma3_r1_r2,ma3_r1_r3,ma3_r1_r4,ma3_r2,ma3_r3,ma3_r4,max,min,previous_sprint,range,second_last,sprint,std,third_last,velocity
B_1,135.2,25.2,55.4,44.4,24.4,30.0,138.8,83.8,51.4,81.0,59.8,48.8,36.8,40.2,28.8,39.6,18.4,53.6,34.0,29.4,90.8,58.6,30.2,39.0
B_10,97.8,38.6,91.0,40.8,21.2,63.6,34.4,85.2,50.2,89.8,76.4,77.4,40.6,48.2,32.0,24.6,15.2,40.4,40.0,23.4,36.4,56.6,26.6,50.8
B_11,115.2,31.0,62.4,40.0,20.4,31.2,133.6,70.0,37.4,87.8,65.0,59.4,36.0,29.8,38.6,39.8,20.0,46.0,28.6,32.4,59.8,50.0,24.0,37.6
B_12,135.2,55.6,96.8,69.0,40.8,58.6,33.2,70.4,45.8,100.8,113.4,92.2,54.6,63.8,60.6,34.6,24.8,93.4,42.8,32.6,85.0,67.6,41.2,62.6
B_13,139.4,46.8,95.4,88.4,73.0,60.4,45.0,66.0,39.4,97.6,82.0,63.2,49.8,41.6,60.4,45.6,32.2,94.8,47.2,45.2,87.4,72.2,47.4,101.8
B_14,99.6,27.6,57.4,40.8,34.0,34.4,91.0,75.2,41.2,56.0,51.8,33.6,45.4,35.8,36.8,42.0,27.6,91.4,34.8,46.4,103.6,46.0,48.4,52.2
B_15,22.2,16.6,29.0,11.6,8.2,9.6,15.8,24.6,12.4,19.8,28.4,15.8,10.4,9.8,6.2,14.2,3.4,15.0,12.2,9.4,11.6,11.4,7.0,13.0
B_16,21.2,21.6,65.6,13.4,14.6,25.2,,26.0,15.2,38.2,59.4,73.2,12.4,21.4,26.2,9.0,,,13.8,,,58.0,,32.2
B_17,58.0,113.6,77.2,41.0,59.0,58.4,101.4,106.8,100.8,73.0,62.0,57.4,73.6,78.0,74.8,13.4,85.4,96.6,82.4,74.0,89.2,84.0,54.0,43.4
B_18,146.6,29.6,79.8,42.6,24.2,41.4,62.2,52.6,32.6,86.0,88.2,50.0,31.6,30.8,26.0,20.4,45.0,76.8,37.0,33.0,87.4,58.6,33.6,46.4
B_19,31.4,29.6,72.6,22.6,14.2,22.0,18.4,24.4,23.6,51.2,53.0,59.2,24.8,28.8,21.2,27.0,,,27.2,16.0,,47.8,16.2,21.0
B_2,101.0,50.4,83.4,47.0,23.8,46.2,122.0,62.0,113.2,94.4,74.2,56.4,56.4,41.8,37.4,18.0,39.8,54.8,51.8,53.2,54.6,74.2,40.6,52.6
B_20,32.6,15.0,51.2,16.4,,22.8,16.4,34.0,15.2,37.6,42.8,37.8,16.2,14.8,10.4,,,,14.4,10.0,5.2,39.8,,28.2
B_21,47.4,50.6,71.2,11.8,13.8,23.8,10.8,63.8,14.0,35.2,43.6,46.8,13.0,23.4,15.8,19.8,0.0,9.2,11.4,13.8,18.8,42.0,11.8,13.6
