base_feature,acceleration,avg,coef_var,displacement,first,general_trend,last,last_minus_avg,ma3_r1,ma3_r1_r2,ma3_r1_r3,ma3_r1_r4,ma3_r2,ma3_r3,ma3_r4,max,min,previous_sprint,range,second_last,sprint,std,third_last,velocity
B_22,,33.2,60.4,,,,18.8,27.8,19.6,21.0,42.2,33.4,8.4,14.2,,,,,,,,19.6,,
B_23,143.0,33.6,71.4,63.4,45.0,50.4,99.2,63.8,43.6,75.0,64.0,42.2,47.4,46.8,27.4,61.2,34.0,90.6,59.6,43.4,108.6,73.0,35.0,71.4
B_24,,5.2,10.8,11.4,3.2,1.2,20.4,9.2,3.2,4.4,4.0,4.2,0.8,1.2,0.6,7.8,0.0,0.6,8.4,2.6,6.2,6.8,1.4,7.2
B_25,120.6,32.6,54.2,28.0,33.0,23.0,42.6,51.0,30.0,50.0,41.6,27.6,40.0,37.2,32.6,32.4,26.8,64.0,32.2,31.0,115.6,38.6,44.2,27.4
B_26,,14.2,20.6,6.2,2.0,9.0,10.6,12.0,17.6,13.6,7.2,10.4,5.4,6.6,3.0,14.8,0.0,3.6,10.0,6.2,4.0,17.4,1.4,6.4
B_28,132.2,34.2,74.8,61.2,38.4,49.4,51.4,62.4,32.2,79.0,76.8,51.6,33.2,38.8,48.2,41.2,33.2,123.4,40.0,40.6,137.8,72.6,40.2,62.4
B_3,114.8,36.8,91.2,93.0,26.4,57.4,177.4,118.4,74.4,93.8,99.0,72.0,50.6,42.6,21.8,77.4,16.4,56.2,66.2,79.0,100.6,124.2,44.6,92.0
B_30,,,,,,,7.4,,,,,,,,,,,,,,,,,
B_33,,17.0,26.0,,,,,27.2,,18.0,17.4,10.2,,,,,,,,,,22.2,,
B_37,120.0,25.6,70.8,35.2,24.8,37.2,83.6,79.0,37.0,75.2,56.8,52.4,27.8,27.4,32.6,35.4,21.8,57.4,35.8,30.6,74.2,45.4,29.6,39.8
B_38,,,,,103.2,,77.6,,,,,,,,,,,,,70.8,,,62.6,
B_4,126.4,64.0,84.6,75.4,46.0,97.6,193.0,202.2,102.6,79.2,78.2,81.6,63.8,89.2,69.0,169.4,34.6,50.8,119.0,68.0,54.0,159.4,79.2,150.8
B_40,129.0,49.4,73.8,53.4,36.8,51.6,48.4,76.0,45.6,92.8,97.8,70.4,78.4,72.0,59.2,82.6,20.6,52.0,84.6,42.0,67.0,107.2,41.0,48.4
B_5,141.8,51.0,126.0,96.4,43.0,67.2,192.6,112.6,176.6,118.6,105.2,82.0,83.2,83.6,63.2,52.2,55.6,88.2,51.6,81.8,96.0,66.2,62.6,73.0
B_6,136.8,27.4,120.2,43.0,40.0,46.4,44.0,56.0,32.6,149.4,83.0,60.0,43.6,40.2,42.8,28.0,55.8,93.4,34.8,29.6,82.2,44.2,35.2,42.2
B_7,124.6,44.6,68.2,56.4,36.0,51.2,99.2,67.8,49.8,85.2,59.6,51.4,52.2,60.6,32.2,66.8,29.4,59.0,70.2,47.8,71.0,80.6,31.6,59.4
B_8,,11.0,10.4,,,,,,,,,,,,,,,,,,,,,
B_9,144.0,41.2,69.0,58.8,37.0,40.2,113.2,103.6,66.0,106.2,76.8,65.2,51.6,52.4,49.8,40.0,23.8,90.4,53.0,53.6,96.6,60.6,45.2,62.8
D_102,54.4,19.4,44.4,56.6,52.0,19.0,17.4,31.8,16.8,55.0,48.0,43.0,27.4,26.4,29.8,46.4,12.0,42.6,55.4,18.8,60.8,51.8,21.0,51.2
D_104,49.2,25.4,50.2,54.8,57.6,18.6,31.4,40.2,26.0,53.4,50.4,47.2,27.6,31.0,39.0,37.0,35.0,52.4,41.6,27.8,44.6,36.2,38.6,43.6
D_105,54.2,62.8,41.4,33.4,43.2,46.6,38.8,56.8,38.4,36.6,33.4,36.6,38.4,44.2,75.2,82.4,55.8,48.0,57.6,36.4,51.8,60.8,32.6,30.0
D_106,,20.4,23.0,,,,14.2,14.6,9.6,,,,,,,,,,,,,,,
D_107,,14.2,20.2,,,,,13.4,,,,15.4,,,,,,,,,,8.8,,
D_112,28.6,31.8,36.4,21.4,13.4,28.0,44.6,31.6,33.8,36.0,30.6,19.2,17.2,24.4,21.0,,37.2,11.2,40.2,19.6,11.8,36.8,18.2,21.0
D_113,,32.0,38.0,,9.6,,,,11.8,19.6,28.0,25.0,22.8,,20.0,,,,,,,13.8,,
D_114,,,,,18.8,,25.8,,,,,,,,,,,,,19.6,,,15.4,
D_115,37.6,51.8,86.2,51.2,57.8,74.2,48.8,78.6,52.6,100.8,75.0,98.2,57.8,57.4,71.4,48.8,37.4,11.2,53.4,35.8,19.8,89.0,31.2,59.4
D_117,,,,,133.0,,131.4,,,,,,,,,,,,,104.4,,,120.0,
D_118,33.2,46.6,69.0,50.2,70.0,102.4,44.8,83.8,45.8,82.4,55.8,99.4,55.6,52.4,99.8,51.4,64.6,11.4,35.6,40.2,18.0,85.6,38.4,46.8
D_119,29.8,53.0,80.0,53.4,60.6,79.2,43.0,77.2,48.6,79.6,68.8,108.2,45.0,51.0,83.0,39.0,56.0,16.0,49.2,33.8,23.6,84.6,38.4,51.8
D_120,,,,,,,57.8,,,,,,,,,,,,,,,,,
D_121,35.2,85.6,104.8,40.0,104.2,71.4,68.4,76.0,78.2,100.6,107.6,112.8,68.2,88.2,99.2,72.8,68.4,11.2,30.8,62.6,12.8,105.2,65.4,46.4
D_122,,73.8,38.0,,26.8,,30.2,20.0,43.4,,9.8,19.8,34.4,32.4,45.0,23.6,21.4,,,19.0,,24.0,18.4,
D_123,,,21.8,,15.0,43.8,,,,,,,,,18.2,,,,,,,11.4,,
D_124,,92.4,45.4,9.0,48.4,31.6,41.0,17.6,50.6,,10.2,35.6,47.2,47.4,73.2,49.8,49.8,,,39.6,,29.2,31.4,
D_126,,,,,25.6,,,,,,,,,,,,,,,,,,,
D_128,,24.0,17.8,,13.6,,,,,,,11.2,,7.6,9.6,,,,,,,,,
D_129,,16.6,15.0,,,,,9.8,,9.4,,8.8,9.8,,,,,,,,,,,
D_131,,9.6,,7.6,5.2,,4.6,,9.6,,,9.8,,,,,,4.8,,7.6,,19.6,6.0,
D_132,,26.0,16.4,,,,32.8,21.2,29.4,,,,,,,36.6,27.2,,14.6,14.6,9.0,,,
D_133,,13.6,8.2,11.0,10.2,13.2,8.0,7.2,12.8,7.0,1.8,2.6,10.8,5.2,9.2,35.6,1.2,3.6,18.8,10.4,6.4,15.0,9.2,15.6
D_140,,20.8,,,,,25.0,9.8,26.4,,,,,,,,,,,,,,,
D_141,16.8,14.2,16.6,17.6,23.2,10.6,10.0,11.0,12.8,19.8,20.6,16.0,,12.2,10.2,16.8,,,18.8,11.8,14.8,10.8,15.8,14.2
D_142,,12.4,36.6,,13.2,18.6,10.6,16.0,13.2,,13.6,,15.8,16.0,19.0,14.8,16.6,3.8,15.6,8.0,4.6,17.4,13.2,6.0
D_144,,2.2,7.6,6.4,8.2,4.4,4.0,7.0,3.2,23.4,24.4,5.6,3.0,3.8,5.0,3.0,2.8,6.2,3.0,1.2,3.2,6.2,4.0,7.6
D_145,,,,9.4,13.0,10.2,,21.8,,,,8.2,,,,,,,,,,,,9.6
D_39,98.2,94.0,90.2,87.0,24.6,85.4,158.8,130.2,155.2,127.2,113.4,119.0,59.2,61.6,50.4,133.8,,32.8,108.2,40.0,59.8,127.8,27.0,89.0
D_41,14.8,18.8,51.8,61.8,,15.2,42.8,54.8,20.0,31.2,29.2,38.4,8.6,9.8,,21.4,,9.2,18.0,,21.2,32.4,,49.6
D_42,18.2,152.8,58.2,,120.6,,60.0,11.2,41.4,,,,14.0,28.2,141.8,131.6,143.6,,27.6,27.4,14.0,32.6,13.8,13.6
D_43,97.8,209.8,129.6,81.8,130.6,125.8,258.2,148.2,259.4,140.2,125.8,100.6,95.2,132.0,144.0,146.6,152.8,105.4,120.8,151.8,111.0,130.2,115.0,73.8
D_44,10.6,81.6,85.2,35.8,13.0,50.8,71.8,144.0,61.0,63.0,54.6,57.8,29.6,17.2,28.0,37.0,,,21.0,16.8,,98.2,11.6,57.4
D_45,154.6,52.6,64.6,66.2,88.8,76.6,42.8,72.0,43.2,68.2,80.2,47.0,58.4,49.2,56.8,62.4,46.0,103.2,61.0,48.6,94.4,77.6,44.4,74.0
D_46,107.8,157.0,85.8,58.0,143.0,64.8,198.8,146.8,113.2,181.4,100.6,73.4,88.6,104.2,133.4,140.0,127.4,149.0,87.0,90.6,216.6,92.2,90.2,57.6
D_47,143.8,72.6,78.6,49.0,58.4,67.6,83.6,66.2,101.4,96.2,84.4,58.6,99.4,106.2,89.8,93.0,51.2,73.0,51.4,87.6,79.0,91.8,88.6,58.2
D_48,135.0,62.2,92.4,110.8,92.2,86.4,134.6,219.0,95.2,150.0,91.0,82.8,82.8,65.2,82.8,129.8,71.2,191.0,90.8,87.2,270.4,98.6,80.0,113.8
D_49,,57.8,17.4,,,,78.8,74.4,75.6,,,,,,,32.8,25.2,,16.2,26.0,,17.8,9.0,
D_50,14.2,69.0,59.2,19.6,25.4,45.6,48.4,49.0,90.8,49.6,51.4,55.0,62.6,43.0,39.2,70.4,31.0,14.2,33.8,48.6,19.8,46.6,44.8,20.8
D_51,,39.2,55.6,,,,11.8,22.2,15.8,21.2,28.4,33.4,,,,12.0,7.8,,,,,12.2,,
D_52,36.2,72.4,87.2,57.4,56.0,48.8,41.2,77.4,64.2,62.8,61.6,78.8,49.6,59.4,72.0,37.4,42.0,12.0,37.8,39.6,12.6,91.4,45.8,56.8
D_53,12.4,65.0,53.2,19.4,18.6,29.0,42.4,59.4,45.6,38.0,28.4,29.0,26.6,24.8,22.4,30.0,18.4,14.8,30.6,16.2,33.2,59.0,15.4,23.6
D_54,,32.0,8.4,,,,22.4,,4.6,,,3.4,,,,,19.4,,,,,,,
D_55,110.2,28.0,65.6,98.6,74.2,68.2,46.2,94.4,44.2,61.0,69.0,81.4,32.0,40.0,65.6,34.0,33.0,41.4,59.8,49.6,69.6,76.2,48.2,104.6
D_56,26.8,68.2,54.6,20.0,36.6,32.8,56.8,31.0,45.4,49.2,38.6,32.4,37.6,67.4,57.0,60.6,73.0,30.6,46.6,33.8,54.0,41.8,35.8,22.2
D_58,120.4,30.2,56.8,53.6,30.4,46.2,33.4,63.2,34.8,67.6,67.6,63.2,45.0,36.0,33.8,39.6,21.2,44.8,59.4,38.8,50.0,68.8,38.2,52.2
D_59,48.8,69.8,89.0,48.4,44.8,75.0,42.6,87.2,64.4,68.8,76.2,55.0,59.6,53.0,65.2,67.4,32.4,,44.2,44.6,27.8,105.4,28.0,63.8
D_60,94.2,48.6,91.2,48.8,42.8,52.6,73.8,70.4,63.6,100.0,85.8,83.6,52.0,56.2,46.6,39.2,42.4,73.6,49.8,60.6,59.4,58.4,61.6,46.8
D_61,134.2,67.4,82.6,104.6,96.2,91.6,94.6,104.0,68.6,95.2,102.4,81.4,72.4,86.4,79.8,119.4,71.6,128.2,77.8,85.8,144.4,101.6,79.4,105.0
D_62,125.6,105.4,113.8,100.4,127.4,92.2,112.6,107.8,108.6,117.0,102.2,100.6,73.8,86.0,95.0,71.8,141.6,113.0,73.4,91.8,111.6,82.8,97.4,106.8
D_63,,,,,,,23.4,,,,,,,,,,,,,16.4,,,,
D_64,,,,,,,49.2,,,,,,,,,,,,,26.8,,,27.2,
D_65,,35.2,18.0,,,14.4,6.8,12.0,33.6,12.0,9.4,20.4,,,,47.0,,,45.0,,,47.6,,
D_66,,17.8,,,,,7.6,9.0,14.0,7.4,12.0,,7.2,14.2,,14.8,17.2,,10.0,,,10.2,,
D_69,33.4,59.4,57.6,28.8,12.6,47.6,11.2,60.6,21.4,43.6,47.8,49.6,23.4,34.4,24.4,9.6,1.2,12.2,2.8,14.4,10.0,40.6,16.6,26.0
D_70,16.6,72.6,103.6,11.0,16.6,28.8,7.4,38.4,25.6,58.8,61.0,57.0,30.8,29.0,25.0,16.4,,,8.8,8.0,,76.0,,
D_71,145.2,77.6,92.0,67.8,55.8,66.4,52.6,91.0,65.4,90.0,96.4,63.4,68.6,74.0,79.6,34.2,26.8,82.4,37.6,51.4,89.4,63.8,49.0,60.6
D_72,,45.6,,,,,,,,,,,25.4,,,,,,,,,23.2,,
D_74,17.4,43.6,75.6,11.6,23.4,26.0,11.6,45.6,21.8,49.2,52.2,51.8,29.4,20.4,22.8,12.4,,8.2,17.8,13.6,,94.8,15.8,29.0
D_75,27.2,32.6,69.2,8.4,,27.6,10.6,38.6,20.4,58.4,63.2,55.2,27.0,22.8,18.2,15.8,,,12.4,11.0,,87.2,11.4,17.4
D_76,,15.0,,,11.2,,27.2,,13.8,,,,10.0,,,22.6,14.2,,,10.0,,,,
D_77,28.4,99.8,99.2,27.2,79.8,43.6,48.4,54.0,72.2,43.6,44.0,40.0,67.4,69.2,82.8,86.8,105.6,43.0,102.2,50.0,43.0,103.0,50.2,30.8
D_78,,21.8,25.0,,,19.4,,25.4,12.2,12.2,,,,,,,,,,,,19.6,,
D_79,,,,,,14.8,,39.6,,,,,,,,,,,,,,12.8,,
D_80,12.4,35.4,74.2,12.6,,56.2,,48.4,20.2,61.0,53.0,63.2,11.4,13.8,21.0,8.4,,,,8.0,,32.0,6.4,18.8
D_82,,14.4,5.4,,,,,,9.0,,,,,,,6.0,9.0,,9.4,,,6.8,,
D_83,,,,,,,,12.4,,,,,,,,,,,,,,,,
D_91,,14.4,30.6,,,,,,8.4,11.6,,,,,,,12.6,,,,,,,
D_92,,,,,9.8,,,,,,,,,,,,,,,,,,,
P_2,133.6,156.4,105.6,91.4,132.4,71.8,251.6,141.0,205.0,117.4,91.0,100.4,113.0,88.0,103.8,128.4,180.0,54.4,67.8,169.8,119.6,80.4,172.0,101.2
P_3,108.8,107.8,93.2,71.6,89.4,68.0,84.4,85.4,79.4,116.8,97.8,75.2,95.8,104.0,99.8,112.4,68.8,77.8,90.8,64.0,87.0,108.6,66.2,58.8
P_3a,119.8,112.8,101.8,76.0,79.4,81.0,80.0,92.4,99.6,124.0,103.4,76.2,103.0,90.0,111.2,77.2,47.0,94.0,77.0,82.8,85.0,90.4,70.2,64.4
P_4,,26.6,21.6,1.6,5.2,,,,1.4,6.4,2.0,4.6,,7.0,41.6,8.4,,0.8,9.2,,,21.8,,1.4
R_1,85.6,125.6,103.8,22.8,,64.8,82.2,101.0,128.4,82.2,85.0,79.8,,,,34.0,,,33.4,,,107.2,,38.4
R_10,,,18.2,,,,,37.8,,11.4,26.0,13.2,,,,,,,,,,,,10.2
R_11,6.8,60.6,88.6,6.8,,,30.4,59.4,19.4,23.8,20.4,45.8,,,9.0,,,,,,,52.8,,
R_12,,,,,,,9.6,,,,,,,,,,,,,,,,,
R_14,,,,,,,,,,,,,,,,12.2,,,9.8,,,6.8,,
R_15,,14.0,16.2,,,,,,,,,,,,,,,,,,,8.6,,
R_16,6.4,38.6,65.4,,,17.4,,29.6,15.8,32.4,27.0,26.0,,,,,,,,,,42.0,,
R_2,,,14.2,7.4,,,36.4,27.4,13.6,11.4,,16.8,,,,,,,,,,8.8,,
R_26,,27.2,,,,,,,,,,,19.8,,,,,,,,,,,
R_27,8.8,16.0,14.4,4.8,6.8,8.0,16.0,14.8,15.4,7.4,7.2,5.0,28.6,16.0,9.2,6.6,35.8,12.8,12.4,14.6,9.4,12.6,14.6,5.4
R_3,14.2,134.2,126.4,14.0,21.0,32.8,56.4,59.2,70.0,91.0,77.2,80.8,32.6,34.0,43.0,44.6,,,21.0,25.4,,90.8,17.4,18.4
R_4,,,,,,,10.2,,,,,,,,,,,,,,,,,
R_5,,,,10.0,,,30.8,15.8,,,,,,,,,,,,,,9.8,,21.2
R_6,59.8,48.6,91.0,9.2,10.6,30.2,12.4,80.0,19.4,42.8,45.8,43.8,23.2,25.0,19.4,12.6,0.2,11.8,8.0,8.6,9.8,47.4,8.8,11.0
R_7,,,,7.4,,,20.8,,,,,,,,,,,,,,,,,11.2
R_8,,,,,,,,8.2,20.2,,,,,,,,,,,,,14.2,,
S_11,101.8,154.8,70.2,24.2,29.0,47.8,42.2,72.4,70.8,72.6,72.8,55.2,84.8,68.2,75.2,94.6,38.2,21.8,25.6,29.2,26.2,76.6,34.6,35.2
S_12,12.8,94.4,56.4,11.8,25.2,28.0,30.8,41.6,62.0,34.0,31.6,20.8,47.4,59.8,51.0,93.8,71.2,21.6,80.8,41.4,26.8,74.8,37.6,11.4
S_12a,16.2,152.0,85.4,15.2,32.4,28.6,39.2,38.0,79.6,30.0,28.2,25.4,60.4,57.6,54.2,114.4,52.6,26.6,85.2,50.4,18.0,65.8,34.8,18.6
S_13,8.8,87.8,99.6,16.0,33.8,50.0,34.6,66.4,46.2,41.8,46.0,40.2,43.8,43.4,44.4,45.4,,11.0,47.4,18.6,31.8,108.8,20.4,16.8
S_15,74.0,119.8,76.0,15.0,16.2,43.0,19.4,96.8,40.4,50.4,63.8,70.6,46.8,48.8,34.2,45.8,18.6,10.4,17.4,16.8,14.2,78.2,,24.8
S_16,,7.8,11.0,0.0,4.0,1.0,2.4,1.4,0.8,0.4,0.2,2.6,1.0,0.2,0.6,11.8,0.0,0.0,10.6,0.8,5.6,11.2,3.8,0.6
S_17,,10.6,14.0,,,,,,,,,,,,,13.0,9.4,,15.4,,,12.4,,
S_22,63.8,51.4,84.4,57.4,49.0,67.2,37.4,145.4,61.6,89.2,74.0,70.0,49.8,42.0,54.8,31.2,25.8,28.8,53.0,29.8,42.4,67.0,28.8,68.4
S_23,,50.2,35.8,,,,39.4,31.2,31.0,9.6,,,15.6,20.0,18.8,45.2,39.4,9.4,36.4,11.0,6.4,31.4,14.8,
S_24,85.4,55.4,75.4,69.0,41.6,84.0,60.6,123.4,57.6,98.8,92.6,86.8,57.8,58.2,64.6,43.0,33.8,39.6,56.8,23.6,62.8,79.6,28.8,64.6
S_25,,63.2,34.4,,,,37.2,22.4,41.8,10.8,,,19.0,17.6,12.4,75.6,45.4,11.2,47.4,9.6,7.6,30.0,12.4,
S_26,66.2,103.4,80.0,18.4,25.8,29.6,17.6,65.0,30.0,68.8,72.4,64.4,39.0,32.8,30.4,44.4,1.2,18.0,32.0,21.4,16.2,87.2,17.0,23.8
S_27,27.8,128.2,69.4,17.4,26.8,33.2,40.8,47.0,56.4,36.4,46.8,38.2,66.0,60.8,46.4,76.6,74.6,49.4,66.0,32.0,48.8,84.4,53.8,19.8
S_3,89.6,253.8,104.6,81.2,84.0,87.6,202.4,111.2,174.0,102.0,104.2,72.2,109.6,124.6,137.2,143.0,110.2,61.8,97.2,113.0,80.6,122.8,91.8,78.8
S_5,127.6,65.4,93.2,31.4,39.0,47.6,37.8,82.2,43.2,68.4,85.4,71.0,52.8,55.0,80.4,50.6,21.6,50.8,46.6,24.8,86.0,65.2,27.8,44.2
S_6,,,28.6,,,,,,,,,,,,,,,,,,,,,
S_7,97.4,102.8,95.2,86.2,102.4,73.0,106.2,128.2,117.6,97.0,97.2,78.6,92.0,89.2,111.6,105.8,69.2,70.4,87.4,81.2,122.0,86.0,70.2,82.4
S_8,37.2,191.8,118.8,72.4,67.6,87.8,87.2,121.4,136.2,95.8,88.8,80.8,82.0,84.8,98.0,86.6,46.2,39.2,57.4,55.0,42.4,105.0,54.2,86.6
S_9,19.2,162.0,68.2,22.8,23.4,39.6,73.6,90.0,109.2,39.6,40.8,34.2,31.2,55.4,65.6,79.2,50.8,15.0,52.0,31.2,32.2,91.8,22.4,25.4
