base_feature,acceleration,avg,coef_var,displacement,first,general_trend,last,last_minus_avg,ma3_r1,ma3_r1_r2,ma3_r1_r3,ma3_r1_r4,ma3_r2,ma3_r3,ma3_r4,max,min,previous_sprint,range,second_last,sprint,std,third_last,velocity
B_1,131.4,27.8,51.6,47.4,17.4,37.8,137.6,74.4,46.0,73.2,63.2,46.4,36.8,36.8,29.8,41.4,15.8,46.8,36.4,27.2,89.2,56.6,32.6,52.4
B_10,94.6,47.0,97.4,47.2,22.4,62.4,38.4,88.8,55.4,97.0,81.4,75.4,42.0,44.2,29.8,24.8,21.4,46.6,39.4,25.2,32.8,51.2,20.8,42.6
B_11,111.4,31.6,63.0,43.6,23.6,34.6,125.0,67.2,46.6,80.4,67.4,59.8,34.0,32.4,31.6,37.6,18.4,47.2,30.8,28.4,53.6,54.4,21.8,47.6
B_12,155.8,53.8,109.6,59.2,50.4,54.6,38.2,78.8,42.4,99.2,96.6,74.8,58.4,63.6,58.6,36.2,23.2,96.0,45.6,38.6,98.6,67.6,48.8,65.6
B_13,142.4,49.2,100.0,88.6,82.0,57.0,45.8,68.4,48.2,100.0,81.4,65.0,57.4,46.4,72.6,50.8,39.8,92.6,62.8,40.6,88.0,70.2,56.0,85.4
B_14,101.6,35.0,54.6,45.4,33.6,35.2,90.2,71.2,53.2,51.6,48.6,39.0,47.2,41.6,35.4,35.2,22.6,95.2,37.4,45.0,94.0,41.0,47.8,51.0
B_15,,24.4,35.6,14.2,11.0,11.0,18.6,26.8,16.2,24.6,24.6,17.2,9.8,10.0,10.6,18.4,4.2,12.8,16.0,8.8,14.0,18.8,8.8,10.8
B_16,,17.4,67.0,23.8,17.6,24.6,6.6,44.6,11.0,38.8,54.0,75.2,13.0,16.6,20.2,7.2,8.2,9.0,13.6,4.6,7.6,46.4,7.0,34.0
B_17,62.2,109.6,71.6,44.2,53.8,53.6,101.8,102.8,95.2,73.0,63.0,60.6,85.2,77.6,76.6,14.6,71.8,94.8,87.0,68.8,89.0,85.2,54.6,42.0
B_18,143.6,33.0,68.2,49.8,32.2,43.0,63.4,56.8,36.4,78.4,92.2,36.2,37.6,38.0,35.0,21.4,41.4,80.0,45.0,34.8,76.6,55.2,37.2,44.2
B_19,,24.8,77.4,25.4,15.0,21.2,20.8,27.6,27.2,57.6,49.2,56.8,26.8,25.4,20.0,24.6,6.0,14.2,34.0,18.4,8.4,38.0,18.2,24.4
B_2,113.8,59.0,75.4,53.4,28.6,55.0,103.0,75.4,105.2,96.0,72.0,59.6,57.2,51.4,30.8,18.0,41.4,54.0,42.8,49.0,55.0,65.6,33.8,51.2
B_20,,14.8,50.4,20.6,7.0,23.2,15.2,38.6,16.4,32.8,46.8,43.0,15.0,12.6,9.6,5.8,2.4,10.0,16.6,9.2,10.2,37.6,7.4,35.4
B_21,52.8,49.8,80.2,9.2,9.8,22.6,10.4,62.0,12.0,41.6,45.0,47.0,22.8,18.8,12.4,16.6,0.0,10.0,10.2,11.2,16.0,48.8,13.0,12.4
B_22,,36.6,60.6,6.2,,8.4,31.0,26.2,18.2,,,29.2,11.2,12.4,6.8,,,2.2,,8.2,1.6,19.4,2.4,2.6
B_23,146.6,29.0,76.2,67.8,45.0,43.8,83.6,70.2,45.4,71.4,64.2,41.8,36.8,52.6,35.0,65.0,36.6,95.2,61.0,45.2,105.8,74.0,33.8,67.2
B_24,,2.8,8.6,7.2,2.2,1.6,17.0,11.0,3.4,3.6,2.6,3.6,1.0,0.8,1.2,5.8,0.0,1.2,6.4,2.0,5.0,6.6,2.6,6.0
B_25,111.8,30.4,57.0,28.4,29.2,25.6,50.2,50.0,31.8,46.2,42.2,31.8,40.4,43.2,45.6,36.0,21.8,69.8,38.4,34.4,109.4,38.0,42.2,34.2
B_26,,21.2,23.0,5.0,0.8,8.0,12.2,13.6,21.4,17.2,9.6,7.6,7.8,6.2,2.8,16.0,0.0,2.0,10.0,7.4,4.6,22.6,1.2,7.8
B_28,127.4,36.4,70.4,63.4,41.8,44.4,44.8,67.2,34.2,84.8,74.0,58.8,31.2,51.0,58.4,40.6,34.6,124.8,56.4,40.2,140.8,65.2,40.2,68.4
B_3,115.6,49.2,81.4,78.8,29.4,68.0,143.8,129.6,70.2,83.4,87.4,68.4,50.6,46.8,25.4,86.0,21.4,60.6,68.8,90.0,89.2,103.6,44.8,122.8
B_30,,,,,,,8.0,,,,,,,,,,,,,1.4,,,6.4,
B_31,,0.0,0.0,0.5,0.0,0.0,0.0,,,,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_32,,3.2,,0.0,0.5,,,3.6,3.0,,,,,0.8,,0.25,0.0,0.25,,1.0,0.0,3.0,,0.0
B_33,,11.4,34.8,1.8,,5.4,6.8,24.8,5.6,12.4,11.8,11.8,2.2,,,,,1.6,,0.4,2.8,18.2,0.0,3.4
B_36,,,,,,,,,,,,,5.5,,,,,,14.75,5.5,,20.5,5.0,
B_37,119.4,26.2,67.4,33.8,22.4,41.2,92.8,81.6,36.8,75.2,65.2,50.6,26.2,31.2,35.0,37.2,24.6,64.8,37.2,28.2,67.0,47.4,31.0,47.6
B_38,,,,,103.4,,74.6,,,,,,,,,,,,,65.2,,,69.8,
B_4,124.2,71.8,77.0,124.6,46.2,85.0,195.6,204.2,115.6,91.4,85.4,83.8,86.6,89.4,62.2,135.0,37.4,63.6,118.6,86.8,81.4,180.0,68.0,144.4
B_40,129.8,52.4,83.2,54.2,42.4,57.8,51.4,73.8,48.0,92.0,94.8,71.2,71.2,73.6,54.2,91.4,25.4,54.8,88.2,52.6,59.6,99.4,43.4,56.8
B_41,,4.6,,5.6,,1.0,0.75,3.0,0.25,,,,0.25,0.0,,,0.0,0.0,,0.0,0.0,5.4,0.0,
B_5,140.6,64.8,123.8,92.8,41.8,68.4,164.6,120.2,163.0,128.4,114.0,90.0,74.4,76.2,65.4,52.6,56.6,85.6,46.8,82.0,105.2,63.2,67.2,87.4
