base_feature,acceleration,avg,coef_var,displacement,first,general_trend,last,last_minus_avg,ma3_r1,ma3_r1_r2,ma3_r1_r3,ma3_r1_r4,ma3_r2,ma3_r3,ma3_r4,max,min,previous_sprint,range,second_last,sprint,std,third_last,velocity
B_6,146.2,26.8,127.6,44.0,42.4,53.2,45.2,57.0,33.8,146.2,83.0,75.2,42.8,41.4,36.4,30.4,45.8,73.2,38.4,38.6,95.2,51.4,34.2,51.6
B_7,138.4,43.6,70.0,68.0,38.6,63.8,92.0,69.8,55.2,82.8,71.0,42.0,54.2,68.0,35.2,72.4,30.2,49.4,70.6,45.8,76.0,87.4,38.2,70.4
B_8,,19.0,8.0,0.25,,0.0,2.0,1.6,3.8,,2.6,6.0,,,5.4,1.4,6.4,,,2.0,,0.5,1.2,
B_9,128.0,47.4,58.2,61.4,40.0,45.4,125.6,109.8,59.8,93.8,76.4,63.6,54.4,53.8,53.2,53.8,26.8,77.6,52.4,53.4,96.2,63.2,55.2,58.6
D_102,64.0,24.6,48.6,56.8,49.0,21.8,19.0,33.2,20.0,58.8,51.2,44.2,24.0,28.6,33.6,48.4,14.2,49.4,56.0,16.4,51.8,52.2,23.6,54.8
D_103,,4.4,4.0,0.8,,0.75,1.0,2.0,,0.4,,1.8,0.8,0.8,,,,0.25,,0.0,0.5,,0.4,0.25
D_104,51.0,30.0,57.2,70.6,64.0,26.2,37.6,35.2,32.6,56.4,45.0,49.6,26.4,31.8,35.4,33.4,29.6,53.2,40.2,30.2,39.0,41.0,43.8,46.2
D_105,50.2,58.2,44.2,35.6,46.0,50.2,40.6,45.2,45.2,34.4,30.4,36.0,36.8,41.4,69.4,93.6,58.2,65.0,52.4,34.0,58.2,60.6,37.0,34.0
D_107,,10.4,15.8,4.6,5.0,3.6,,14.0,5.6,3.8,7.6,12.8,7.8,,,,,0.0,,1.8,1.25,8.4,,4.2
D_109,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_112,,32.0,31.8,28.4,10.2,27.6,40.8,37.8,36.2,36.6,36.8,29.0,16.8,26.4,16.8,4.6,37.6,16.4,37.2,22.6,9.8,47.4,14.8,20.4
D_113,,28.6,40.2,5.0,9.6,9.0,6.4,9.2,11.2,21.8,27.2,29.6,16.8,10.2,14.6,6.0,5.6,0.0,,3.8,0.5,11.8,6.8,4.0
D_114,,,,,16.6,,33.4,,,,,,,,,,,,,19.0,,,18.0,
D_115,36.4,59.2,90.0,60.0,59.8,82.4,48.2,84.8,53.8,89.4,79.2,97.4,59.2,52.8,67.8,51.4,41.8,12.0,56.6,38.4,15.8,101.4,44.0,69.8
D_116,,,,,0.25,,0.0,,,,,,,,,,,,,0.0,,,0.0,
D_117,,,,,133.6,,127.8,,,,,,,,,,,,,104.6,,,103.8,
D_118,29.2,58.6,70.0,49.6,65.8,96.8,42.6,78.4,46.6,82.6,65.6,97.4,55.4,49.8,100.2,42.6,65.6,10.0,35.2,34.6,19.8,87.6,40.8,48.6
D_119,27.0,51.8,78.4,57.6,60.4,85.8,42.4,80.2,51.8,84.2,75.2,99.4,46.6,52.8,82.0,40.4,60.2,16.6,44.0,42.8,22.4,84.0,42.4,58.0
D_120,,,,,,,62.0,,,,,,,,,,,,,6.2,,,6.0,
D_121,,99.2,117.0,47.2,97.6,69.0,98.4,78.6,81.8,101.6,110.2,98.4,88.4,88.8,108.4,83.4,91.8,12.4,31.8,63.8,14.0,105.2,74.2,52.0
D_122,,90.8,36.6,7.0,33.8,9.6,28.0,17.0,37.2,9.6,12.2,16.8,42.8,35.4,47.4,25.6,24.4,0.0,4.2,22.4,1.8,23.0,22.2,5.6
D_123,,8.8,,1.2,11.2,38.6,0.25,4.0,1.0,,,,,0.5,21.8,4.0,0.0,0.0,6.8,0.0,,10.0,0.0,6.0
D_124,,106.2,38.6,13.4,54.2,24.4,43.6,21.4,51.0,6.4,12.0,29.4,51.2,42.0,81.6,51.8,47.2,0.0,6.0,34.4,0.5,28.0,34.4,8.0
D_125,,8.6,,1.2,,,0.5,6.4,,,,,,,4.0,1.8,0.0,0.0,,0.75,0.5,5.4,1.0,1.0
D_126,,,,,23.2,,4.6,,,,,,,,,,,,,2.4,,,,
D_127,,4.0,,1.0,0.0,,4.0,2.6,,,,,0.4,0.0,0.0,,0.0,0.0,,,0.0,0.75,0.0,0.0
D_128,,26.6,14.0,,8.2,,3.4,2.25,7.2,5.0,6.2,11.2,8.8,8.6,9.0,5.4,3.8,,,6.6,0.0,1.8,9.0,0.2
D_129,,14.0,11.6,0.8,4.8,,,9.0,8.0,6.6,7.0,9.2,7.2,2.8,2.4,,2.2,0.75,,2.2,0.0,4.6,5.4,3.2
D_130,,19.0,,0.0,4.6,1.75,7.2,0.6,9.2,,,,6.6,5.2,5.8,5.2,,0.25,0.0,4.8,0.0,1.0,6.8,0.5
D_131,,39.4,,10.4,9.4,7.6,50.8,11.2,51.8,,,,12.2,,12.4,25.4,,6.4,24.0,20.4,5.4,34.0,6.6,7.0
D_133,,15.0,18.6,13.2,16.2,20.8,24.0,22.6,20.4,8.6,9.4,11.4,13.0,6.0,9.0,46.6,2.2,10.0,19.2,13.4,15.4,25.8,10.2,15.0
D_139,,,,0.0,3.4,,,0.0,0.75,,,,,,,1.5,,0.0,,,0.0,0.25,,
D_140,,15.0,,0.25,0.5,,22.8,9.8,22.8,,,,0.8,1.0,4.0,,1.8,0.0,,3.4,0.0,0.6,3.2,0.0
D_141,,21.6,,21.0,35.8,12.0,14.0,16.0,15.2,,,,11.8,21.0,24.0,27.0,10.8,14.0,30.6,15.8,12.4,25.6,22.0,14.4
D_143,,4.2,,0.25,3.8,,0.5,0.0,2.0,,,,,,,0.75,,0.0,,,0.0,0.0,,0.5
D_144,,2.4,8.0,6.2,11.0,5.6,4.8,6.2,2.8,21.6,21.4,5.2,3.2,3.4,4.2,2.8,3.0,8.6,6.8,4.0,3.2,8.6,2.4,8.6
D_145,,11.8,,6.4,13.4,12.6,3.8,24.2,5.6,,,,7.4,6.4,7.2,4.0,,0.25,,5.6,0.0,3.2,8.2,12.4
D_39,98.6,98.4,92.8,98.2,23.6,90.8,161.6,167.8,155.2,122.0,113.8,128.6,58.6,57.0,52.8,129.8,,43.6,85.2,39.6,72.6,154.0,33.0,101.4
D_41,,27.4,,66.2,8.8,17.6,37.8,60.8,21.6,,,,9.8,14.4,7.6,24.8,,12.8,23.8,8.4,23.4,36.4,7.4,52.2
D_43,92.0,201.2,116.8,75.8,135.0,111.8,251.0,130.4,263.8,151.4,120.4,128.6,104.2,110.4,144.8,161.0,151.2,99.0,110.2,139.6,104.0,122.4,120.8,80.4
D_44,,82.0,85.8,41.4,20.0,51.6,62.4,152.2,65.6,61.2,59.8,73.8,30.4,19.2,31.0,35.4,9.6,2.4,20.4,22.6,13.4,94.8,10.8,62.8
D_45,135.6,53.8,67.2,56.0,98.0,70.4,50.4,78.8,43.2,73.4,72.2,42.8,47.2,68.0,67.8,64.2,48.0,90.4,55.8,46.6,93.6,88.0,49.4,81.8
D_46,108.8,137.6,88.8,48.8,142.6,65.4,183.4,155.0,119.4,165.2,100.2,78.8,90.8,112.4,128.8,134.2,123.8,146.8,106.4,86.6,205.4,113.6,78.0,62.8
D_47,130.4,101.2,73.0,53.2,84.4,85.6,100.4,63.2,103.8,105.6,81.2,52.8,103.8,103.4,95.0,91.8,67.4,71.8,59.8,101.8,81.2,91.8,88.8,66.4
D_48,134.2,78.2,89.2,99.4,91.8,93.4,144.8,212.8,91.4,155.6,96.6,90.2,71.0,73.0,94.6,113.0,76.2,189.8,98.6,103.2,270.2,106.2,84.2,118.0
D_50,,67.4,50.2,20.4,29.8,50.0,52.6,56.6,90.2,38.4,57.2,54.6,63.6,30.2,47.4,59.0,27.6,13.0,34.4,41.6,14.2,53.8,36.0,20.8
D_51,,37.2,59.2,2.0,,3.8,11.6,20.4,15.6,20.8,28.8,34.8,7.8,7.0,5.6,13.0,7.0,0.25,,3.6,0.75,12.8,2.4,1.2
D_52,31.2,80.8,91.8,48.2,62.0,63.8,39.8,74.6,73.4,64.4,74.8,74.6,59.4,65.0,84.2,42.4,50.2,13.0,36.0,40.8,12.2,86.0,46.8,53.6
D_53,,90.2,,,,,,,,,,,,,,49.4,39.2,,53.4,,,,,
D_54,,25.8,6.0,6.2,5.6,2.25,15.8,6.6,5.6,2.2,,1.0,,,9.8,0.0,11.2,0.25,,,3.0,,0.5,4.25
D_55,110.2,31.0,70.0,104.0,58.8,81.4,51.4,98.8,53.4,67.4,74.0,78.6,36.8,39.8,56.0,34.4,27.4,51.8,62.4,47.0,62.2,72.4,46.0,113.0
D_56,32.4,68.8,52.8,21.4,33.4,26.4,57.0,36.2,54.6,41.2,31.0,31.2,40.6,59.2,52.2,66.2,76.0,24.2,50.6,38.2,54.6,47.2,37.2,23.4
D_58,132.8,38.6,53.6,55.8,34.6,56.2,39.6,53.0,31.4,71.0,74.8,56.6,37.0,44.6,38.8,40.4,24.0,45.4,65.4,37.6,42.4,73.8,32.4,50.2
D_59,43.2,70.6,98.0,55.6,51.2,65.4,61.2,86.6,54.0,65.2,57.6,50.8,55.2,49.4,63.0,82.2,29.6,8.6,32.0,33.2,40.8,97.0,32.8,69.2
D_60,113.4,43.4,91.2,69.0,44.6,53.6,85.0,75.0,55.2,86.6,88.4,71.8,51.0,51.6,49.2,52.6,52.8,69.2,49.0,70.6,68.8,59.6,58.4,49.4
D_61,126.0,66.0,77.4,105.2,104.6,81.4,101.2,106.0,80.2,104.6,91.0,77.0,74.8,72.8,84.2,109.6,75.6,140.0,93.4,95.0,163.4,107.6,92.0,107.6
D_62,112.2,117.8,124.2,98.8,139.6,95.8,108.4,106.0,116.2,123.2,109.6,97.2,82.2,79.6,112.6,98.8,146.4,124.2,76.2,118.0,126.2,86.8,103.0,114.6
D_63,,,,,,,48.4,,,,,,,,,,,,,17.6,,,12.6,
D_64,,,,,14.4,,46.0,,,,,,,,,,,,,32.8,,,24.6,
D_65,,36.2,,5.2,,12.6,9.4,17.6,43.2,,,,,1.6,,55.8,0.0,2.0,34.2,0.5,1.6,48.8,0.4,2.8
D_68,,,,,37.2,,41.6,,,,,,,,,,,,,36.2,,,31.8,
D_69,38.0,60.4,56.2,25.6,12.8,45.8,18.0,71.2,22.0,36.0,52.4,49.4,23.2,32.6,28.4,11.8,1.0,12.8,3.8,15.0,14.0,42.8,14.0,25.6
D_70,,77.6,98.6,18.0,13.8,31.8,8.2,50.8,22.2,62.0,61.0,56.4,28.0,28.8,25.6,14.4,,5.0,12.4,8.4,,78.0,9.2,12.2
D_71,147.2,86.0,89.6,62.8,56.2,58.2,64.0,87.4,57.0,77.2,83.2,62.8,63.4,82.0,73.0,33.0,36.0,76.0,37.4,46.0,109.6,67.6,43.6,72.4
D_72,,34.6,,,8.8,2.4,5.2,10.2,10.8,,,,12.8,6.2,7.2,7.8,,1.0,4.6,3.6,0.0,14.2,5.0,1.8
D_74,,44.4,76.4,25.2,17.4,30.2,14.4,57.2,22.0,41.6,52.2,55.6,25.4,28.0,30.6,21.8,10.0,11.4,20.4,12.4,6.6,96.4,13.0,24.2
D_75,,41.0,70.0,20.6,9.8,23.4,12.6,64.4,23.6,59.2,56.8,61.4,31.0,25.8,24.6,17.6,6.2,10.6,11.2,9.0,12.8,93.8,12.2,22.2
D_77,27.0,112.6,99.6,34.0,77.8,46.0,59.6,53.0,81.2,50.4,37.4,43.6,70.0,64.2,78.6,108.2,120.4,42.0,113.4,46.6,44.6,107.0,46.4,27.4
D_78,,27.0,,5.2,,18.8,4.4,26.6,12.2,,,,5.2,,5.2,4.8,0.0,1.6,,5.0,3.8,20.8,,8.6
D_79,,31.4,,4.8,,21.4,48.8,54.8,41.4,,,,,,,,,3.75,6.0,19.0,,14.6,,5.0
D_80,,31.4,74.0,19.2,7.2,51.0,6.8,55.6,20.2,51.4,56.4,66.6,12.4,11.2,20.6,8.0,,3.2,,7.4,3.0,31.6,9.2,21.0
D_81,,,,2.6,,1.5,0.0,3.0,1.0,,,,,,,,0.0,0.0,,0.0,0.0,4.6,0.0,
D_83,,,,4.8,,1.25,3.6,10.4,,,,,0.8,1.5,1.75,,0.0,0.0,,,0.0,1.8,,1.8
D_84,,5.6,,3.8,,3.8,,6.8,,,,,0.6,,1.6,,,0.4,,0.2,1.5,9.6,1.0,3.8
D_86,,,,1.8,0.0,,2.0,1.75,6.6,,,,,0.25,0.5,,0.0,0.0,,1.6,0.0,,1.6,0.5
D_89,,,,0.75,0.0,,0.25,,0.25,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
D_91,,14.6,,,,6.2,11.2,9.6,10.0,,,,,,8.0,,20.0,0.5,,4.4,0.0,9.2,,3.4
D_92,,,,,8.4,,0.0,,,,,,,,,,,,,,,,0.0,
D_93,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_94,,0.25,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_96,,,,,0.0,,3.6,13.8,,,,,,,0.5,,0.0,0.0,,0.0,0.0,13.4,0.25,
P_2,115.8,155.8,108.6,110.2,124.0,82.8,288.0,147.2,228.4,125.8,80.6,84.8,133.0,88.6,123.6,129.6,161.4,127.4,84.0,214.0,193.6,98.4,148.2,116.0
P_3,116.0,116.2,108.4,88.6,153.6,80.2,118.8,95.6,98.4,137.2,105.6,76.0,103.0,118.6,127.0,155.6,123.2,109.6,95.4,91.6,130.0,142.0,95.8,70.0
P_4,,12.0,,14.6,23.6,15.8,10.2,11.4,8.8,,,,7.4,13.4,27.4,18.4,8.8,10.2,18.0,10.0,10.8,21.8,9.6,11.0
R_1,83.6,129.2,109.2,31.6,,58.6,71.4,88.4,115.2,79.8,74.2,83.6,30.2,37.0,24.8,38.6,,,25.4,22.2,23.4,116.6,20.2,46.8
R_10,,12.6,,5.4,0.75,10.6,,37.4,,,,,,,,3.6,0.0,1.0,,0.0,2.6,12.0,0.0,8.2
R_11,,62.8,91.0,11.2,,8.0,21.0,66.0,18.6,,,52.4,5.2,,9.8,7.4,0.0,2.0,4.4,0.8,6.0,48.8,,6.8
R_12,,,0.75,4.6,,,7.0,,,,3.0,3.4,1.0,3.0,1.4,0.0,3.6,0.25,5.2,0.75,3.8,2.8,0.4,3.8
R_13,,,,0.5,0.0,0.5,1.5,,0.75,,,,0.0,0.25,0.0,1.0,0.0,0.0,0.75,0.0,0.0,,0.0,0.5
R_14,,,,0.0,0.0,1.25,0.4,8.0,,,,,1.0,,2.0,10.8,0.0,2.0,10.0,0.8,,7.0,0.0,0.5
R_15,,13.2,,0.5,0.0,3.6,,5.0,10.0,,,,0.0,1.0,0.5,5.0,0.0,0.0,,0.0,0.0,12.8,0.2,
R_16,,40.4,80.6,8.2,,19.6,,40.4,18.0,,,,4.8,5.0,,8.0,0.0,2.0,6.2,3.2,5.6,46.6,2.5,7.0
R_17,,,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
R_18,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_19,,,,1.25,0.0,,0.25,4.4,0.5,,,,,0.25,0.25,0.0,0.25,0.0,,0.0,0.0,2.4,0.0,
R_2,,5.6,,7.0,0.25,6.0,30.6,27.6,17.4,,,,1.0,1.5,,,0.0,0.75,,,0.25,8.2,0.0,5.2
R_20,,2.0,,2.4,0.0,1.5,7.0,5.4,,,,,0.0,0.25,,,0.0,0.25,,,0.0,5.0,0.0,1.4
R_21,,,,0.0,0.0,,0.25,0.0,0.0,,,,0.5,0.25,0.0,,0.0,0.0,0.5,0.0,0.0,,0.5,0.0
R_22,,,,0.0,0.0,0.25,0.0,1.8,0.25,,,,0.0,0.0,0.0,,0.0,0.0,1.0,0.25,0.25,1.8,0.0,0.0
R_23,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_24,,,,0.25,0.0,0.2,,,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.25,,0.0,0.0
R_25,,0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
R_27,,14.4,18.6,4.4,10.2,7.2,21.2,14.2,24.2,9.0,8.4,3.6,26.8,17.8,19.6,18.2,34.6,13.4,15.0,13.4,12.0,13.8,22.6,5.8
R_28,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_3,,154.6,127.8,33.2,35.4,40.0,65.4,83.4,65.2,89.6,83.2,88.4,39.8,37.8,76.8,73.6,9.6,8.8,22.8,30.8,12.0,98.6,20.4,33.6
R_4,,,,1.4,,2.6,8.8,6.0,3.4,,,,0.25,0.75,0.6,,0.0,0.25,,0.0,0.0,1.2,0.25,0.5
R_5,,4.4,,8.0,,,23.2,15.6,8.6,,,,0.0,0.25,0.0,4.8,0.0,0.0,3.2,0.0,0.75,9.2,0.75,25.6
R_6,53.6,54.6,80.2,15.2,13.4,28.2,14.6,65.8,23.4,45.6,46.2,45.6,19.2,16.6,14.8,15.6,0.0,10.0,13.6,10.2,11.4,47.0,11.0,13.4
R_7,,3.2,,8.4,,,18.4,5.2,9.2,,,,,1.5,,6.2,0.0,2.0,3.4,2.6,2.8,4.0,0.75,10.2
R_8,,5.0,,,0.0,,1.8,10.8,14.2,,,,,0.5,0.25,,0.0,0.5,,0.25,4.4,14.8,0.0,
S_11,101.0,134.6,70.0,56.4,29.8,49.4,41.8,98.2,68.4,79.2,74.2,67.2,79.0,72.4,73.4,79.2,38.6,48.4,30.4,36.2,39.0,74.0,38.2,47.4
S_12,76.8,91.4,81.8,19.6,23.0,44.2,28.4,81.8,40.0,52.8,54.6,42.8,40.2,45.2,29.6,61.4,58.4,34.0,76.6,32.4,32.6,94.8,25.6,22.8
S_13,40.4,25.6,84.0,38.0,11.8,35.8,18.6,85.2,24.0,83.2,73.4,70.0,24.4,27.2,21.2,30.6,,18.6,34.0,5.8,24.2,62.0,12.2,35.2
S_15,66.8,139.6,78.2,27.2,14.2,45.4,18.6,105.6,43.0,66.6,53.2,61.2,44.0,44.2,41.4,42.6,21.4,21.8,19.4,17.8,22.8,80.6,12.6,33.4
S_16,50.2,58.0,69.6,8.0,13.8,23.4,10.0,66.8,16.4,41.2,39.0,40.2,18.6,16.4,15.2,13.6,0.0,9.2,8.0,13.6,14.8,44.4,10.6,9.8
S_17,74.6,47.0,66.8,10.0,11.4,29.8,10.2,79.6,18.4,47.4,45.8,43.0,23.8,18.4,19.4,6.8,0.0,15.6,7.2,10.2,15.2,37.6,8.8,12.0
S_18,,,,1.25,0.5,,0.0,11.8,2.8,,,,4.2,,2.0,,0.0,0.0,,1.0,0.4,,,0.0
S_19,,,91.25,,,,,,,,98.2,,,,,,,,17.0,,,108.6,,
S_20,,,,0.0,0.25,,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.75,,0.0
S_22,102.0,45.0,68.0,77.8,84.2,56.6,84.8,105.4,46.2,89.4,79.2,62.4,65.6,53.6,56.4,84.0,45.8,108.0,58.2,70.0,136.8,64.6,65.2,68.6
S_23,66.4,66.4,92.6,35.6,10.6,46.6,38.0,65.4,39.0,47.6,46.4,37.8,37.2,24.6,24.2,34.2,8.4,25.2,37.8,15.8,19.6,86.8,15.2,32.6
S_24,86.4,39.6,61.4,39.8,25.2,52.2,45.6,108.0,36.8,70.8,69.8,50.2,39.2,44.8,40.0,35.6,21.8,34.0,37.8,18.8,43.2,60.2,23.4,52.0
S_25,94.2,53.2,93.0,27.8,32.6,36.6,22.8,72.0,24.0,47.6,53.0,46.8,27.8,24.4,25.8,19.2,19.0,26.6,21.8,16.0,20.6,82.4,23.4,27.8
S_26,75.2,102.4,89.6,18.6,26.4,36.6,15.4,72.0,33.8,67.8,73.4,64.8,37.0,40.4,34.4,49.2,1.2,18.2,45.8,18.2,16.6,77.2,18.8,17.4
S_27,68.4,89.4,96.2,62.2,56.6,84.8,64.6,94.0,67.2,79.4,81.8,91.2,78.0,74.6,85.0,88.0,19.8,60.6,76.4,56.6,71.0,93.2,64.8,57.6
S_3,121.0,244.2,107.0,99.4,111.6,83.8,239.0,118.2,179.8,92.0,106.8,74.6,117.2,114.0,137.8,156.4,168.8,104.6,115.0,139.6,133.4,121.4,110.4,94.4
S_5,98.2,64.2,82.6,35.2,55.0,42.6,63.4,61.8,48.2,52.8,64.2,42.8,52.4,66.6,67.4,62.6,27.6,68.4,62.4,37.6,90.8,59.2,44.2,41.8
S_6,,9.8,26.6,2.4,0.25,6.2,,14.4,0.6,7.6,,3.4,,,,,0.0,0.0,,,0.5,12.8,0.0,1.4
S_7,117.2,133.8,108.2,100.4,121.0,79.2,133.0,118.8,114.4,91.8,105.4,79.0,95.6,89.8,115.2,117.0,114.8,109.6,95.6,88.4,161.6,100.0,92.6,86.4
S_8,75.4,87.0,78.8,51.8,33.0,56.4,48.2,71.6,80.8,108.2,91.0,94.6,65.6,71.4,66.4,76.0,11.8,35.6,69.2,29.4,38.4,79.8,30.2,44.4
S_9,,172.8,80.4,24.8,20.8,42.2,78.8,81.8,118.8,36.2,39.0,36.4,33.8,53.6,56.4,85.0,50.6,18.8,58.2,37.6,34.2,89.8,25.2,23.8
