base_feature,acceleration,avg,coef_var,displacement,first,general_trend,last,last_minus_avg,ma3_r1,ma3_r1_r2,ma3_r1_r3,ma3_r1_r4,ma3_r2,ma3_r3,ma3_r4,max,min,previous_sprint,range,second_last,sprint,std,third_last,velocity
B_1,105.6,,54.0,45.0,36.2,29.4,173.4,71.4,51.4,77.8,55.2,37.6,39.6,41.2,29.6,44.6,45.4,88.4,32.8,40.8,123.8,48.0,49.4,59.6
B_10,68.0,36.0,71.4,61.2,46.0,57.8,74.8,70.8,64.8,84.4,75.8,59.2,43.4,45.0,38.4,41.0,66.8,79.6,39.8,65.2,78.8,52.6,52.4,65.6
B_11,83.6,37.2,48.8,41.0,42.2,35.2,186.2,65.0,52.2,65.8,57.0,35.0,42.8,39.2,34.8,43.4,47.0,76.2,29.0,56.2,99.8,43.4,41.6,57.6
B_12,67.4,48.2,84.4,57.6,60.4,53.6,40.2,69.2,44.2,87.4,75.4,73.0,49.4,59.8,54.6,46.2,50.0,89.6,44.8,45.0,69.2,57.6,49.8,46.8
B_13,76.6,47.2,71.2,85.4,70.0,51.4,43.2,62.6,38.8,80.8,64.2,51.0,48.0,38.2,59.6,46.0,41.2,81.0,47.0,41.6,80.0,60.4,53.4,75.4
B_14,73.6,34.8,55.8,46.0,42.8,38.2,107.0,95.2,52.6,64.8,53.6,33.0,42.8,39.6,37.4,41.0,41.2,100.6,28.4,48.4,92.2,50.6,54.4,47.8
B_15,69.4,80.0,91.8,65.2,87.6,67.2,87.8,81.6,77.4,64.0,71.0,72.0,75.6,69.2,70.8,78.8,60.2,87.4,62.0,89.0,73.8,68.2,69.2,73.8
B_16,,,56.0,,,27.6,,37.6,7.4,39.8,59.6,63.4,11.8,,,,5.4,,,6.2,,47.8,5.6,
B_17,62.8,80.0,83.0,33.6,66.6,49.6,98.2,81.4,101.0,63.6,53.8,51.4,62.4,59.2,67.4,97.8,107.6,97.0,93.0,81.6,89.4,76.4,66.6,38.4
B_18,106.0,36.6,70.0,45.2,24.6,28.4,65.0,55.8,37.6,63.0,82.2,36.8,35.4,30.4,26.8,,39.8,59.8,48.6,34.6,70.8,52.6,31.0,43.4
B_19,,,74.8,,,26.0,,,,50.4,44.4,59.4,,,22.2,,6.2,7.2,,,,56.6,,
B_2,87.2,57.6,66.2,64.0,61.4,33.0,146.2,84.0,123.0,89.6,60.0,44.4,74.6,46.4,43.0,44.6,94.4,70.6,47.4,90.0,93.8,60.8,64.4,61.8
B_20,35.2,,47.4,,7.8,22.0,,35.4,,,30.8,34.4,11.6,12.0,,7.8,,7.6,,,11.0,36.8,8.2,
B_21,85.6,93.0,87.6,72.6,76.0,49.6,70.8,77.8,61.6,77.2,75.2,59.4,74.6,86.0,72.2,93.6,81.6,72.2,61.8,75.0,86.0,86.0,65.2,58.8
B_22,9.2,48.6,60.0,,1.8,7.8,,,,,41.0,,12.8,,5.4,2.2,1.6,,3.2,,,,4.8,
B_23,76.4,,53.8,56.4,37.8,40.2,102.2,61.0,51.4,64.2,55.0,36.6,42.4,57.2,31.4,59.8,31.4,71.8,49.8,42.2,101.4,69.4,27.0,67.6
B_24,86.8,71.4,74.0,80.6,84.6,55.6,82.6,76.4,82.8,86.6,65.6,53.4,72.0,78.6,72.6,80.2,71.0,73.0,53.4,77.2,95.8,85.0,82.8,66.4
B_25,100.0,37.0,52.0,37.6,48.4,29.8,50.6,59.2,38.0,63.8,67.6,41.0,41.8,48.8,51.4,43.2,43.4,97.0,31.0,45.2,154.2,45.0,46.2,38.4
B_26,77.0,82.6,74.4,74.2,71.0,66.8,89.6,68.6,108.8,84.8,74.4,59.4,80.2,76.8,73.0,73.0,65.2,79.4,64.0,76.4,87.0,82.2,71.6,77.8
B_27,87.4,73.6,66.0,70.6,85.6,45.8,67.0,61.8,69.0,71.2,72.4,47.0,76.2,77.4,68.6,72.2,64.2,89.2,61.4,61.2,60.2,88.6,79.6,66.2
B_28,72.6,28.6,73.8,56.8,41.4,42.2,43.2,57.8,33.6,62.0,68.0,46.8,34.6,45.0,40.6,34.6,35.2,115.6,41.4,37.2,114.0,51.0,36.0,52.6
B_29,,,,,22.8,12.8,,,,25.6,17.8,,,24.2,40.0,,,29.0,,,,,,
B_3,77.0,50.2,84.4,97.2,56.8,43.8,201.0,115.0,92.6,91.8,74.2,53.2,59.6,55.6,47.4,97.8,32.4,79.8,68.0,105.6,127.8,95.4,56.4,111.8
B_30,,,,,1.4,,,,,,,,,,,,,,,,,,3.8,
B_31,2.0,,,,,,,0.6,0.4,0.4,,,,,,,,,,,,,,
B_32,,,,,,,0.8,,4.2,1.4,0.8,,0.2,,0.0,,,,0.0,,,,0.2,
B_33,,,27.2,,1.2,7.6,10.8,,4.8,,,,4.0,2.8,2.2,0.0,0.0,,0.2,,,,,
B_36,,1.2,0.8,,,,0.2,,0.2,0.2,0.2,0.6,,0.2,,1.0,,,,,,,,
B_37,87.6,,61.0,38.6,31.4,31.4,113.2,59.0,48.6,73.8,53.6,31.0,34.8,34.8,32.6,45.6,53.0,93.4,36.2,45.0,123.8,43.6,40.2,38.0
B_38,,,,,91.4,,72.8,,,,,,,,,,,,,70.0,,,56.0,
B_39,2.4,6.2,,,,,,,6.6,3.2,,,5.2,,,3.0,7.6,,4.8,,,,3.0,
B_4,100.8,81.4,86.6,115.0,47.8,78.6,203.0,196.0,122.6,72.6,64.4,66.2,70.8,94.6,61.8,145.8,32.8,62.6,118.6,75.2,64.4,183.6,50.0,168.6
B_40,80.6,49.8,70.2,47.6,48.0,42.4,60.6,70.4,48.4,63.8,77.0,57.8,56.6,59.2,44.2,89.8,38.8,73.4,76.4,53.8,93.4,88.2,44.4,54.4
B_41,,,,,1.0,,,,,,2.6,,,,1.8,3.0,,,2.2,,,,,2.2
B_5,70.0,60.6,111.0,79.6,46.8,59.4,211.6,110.6,178.6,97.0,89.6,64.0,71.4,59.4,60.4,55.2,75.6,75.4,50.4,95.2,91.0,52.0,65.2,67.4
B_6,89.2,,111.6,41.8,46.2,40.8,50.4,51.8,32.8,143.8,75.2,46.0,41.2,42.2,37.6,,60.0,66.0,31.4,39.2,76.4,43.4,36.8,42.4
B_7,77.2,,56.6,53.2,43.4,44.4,129.0,59.6,53.2,74.6,56.8,33.6,48.2,52.8,33.8,59.6,40.8,69.8,55.0,52.0,86.8,74.8,40.0,62.8
B_8,,19.2,5.6,,3.0,,,,3.6,2.6,,4.0,2.8,3.2,4.6,,4.2,,,,,,,
B_9,87.2,44.0,47.2,68.0,44.6,43.0,130.6,97.2,61.4,77.6,60.6,41.4,61.0,51.6,51.4,46.6,48.6,139.2,48.4,66.8,157.0,69.2,76.8,67.2
D_102,82.6,47.8,53.8,82.8,79.2,46.4,39.8,55.8,36.6,96.6,62.0,49.6,64.2,46.0,54.8,65.8,46.6,87.2,85.4,44.2,118.2,55.6,51.4,85.8
D_103,,3.6,,,1.8,,,,0.6,,0.4,,,,1.0,0.2,0.6,,0.8,,,0.8,,
D_104,44.8,30.2,50.6,60.6,53.2,23.4,,29.0,,44.8,43.2,41.6,,,,,,41.2,37.6,,32.2,31.0,37.6,38.6
D_105,,64.6,42.2,,53.0,44.0,43.0,50.4,51.6,,,34.6,38.4,48.2,79.0,78.2,52.8,53.6,53.2,,61.8,47.0,,
D_106,14.4,,,,1.0,8.8,,,21.4,2.6,1.4,,5.6,6.2,5.8,12.4,7.8,,7.2,,,7.0,2.6,
