base_feature,acceleration,avg,coef_var,displacement,first,general_trend,last,last_minus_avg,ma3_r1,ma3_r1_r2,ma3_r1_r3,ma3_r1_r4,ma3_r2,ma3_r3,ma3_r4,max,min,previous_sprint,range,second_last,sprint,std,third_last,velocity
D_107,,,,,4.8,5.6,2.2,,4.2,6.2,8.2,,6.0,3.0,3.0,1.2,1.6,,2.0,,,,2.4,
D_108,,3.6,,,,,,,,,,,,,,3.6,2.8,,5.2,,,,,
D_110,4.4,15.2,,,,,1.6,0.8,1.0,,,,,,,,10.0,,1.8,,,,,
D_111,,3.2,,,,,,,,,,,,,,4.2,,,,0.4,,,,
D_112,42.4,,,,,27.6,61.4,33.6,44.2,36.6,,24.2,,,,,41.8,11.0,44.0,,,39.8,13.8,
D_113,,,39.8,,7.4,4.8,5.6,7.0,9.4,16.0,,,11.6,9.4,13.2,7.6,5.0,,1.6,3.8,,,4.6,
D_115,86.0,47.4,67.4,73.0,57.2,81.0,48.2,58.2,41.8,82.0,59.2,78.0,40.2,46.6,65.8,52.6,49.4,76.8,55.2,45.2,89.6,77.4,41.6,64.2
D_117,,,,,117.6,,104.4,,,,,,,,,,,,,83.6,,,98.4,
D_118,88.8,47.6,60.0,79.6,80.0,92.0,51.0,68.4,46.0,66.2,54.0,80.2,44.8,44.8,100.8,50.0,71.2,81.0,43.2,40.2,81.4,68.8,38.8,73.8
D_119,91.2,44.4,56.0,63.0,64.8,85.8,54.0,52.8,44.4,63.2,60.2,87.4,40.0,42.0,87.8,50.4,89.4,85.6,50.8,44.8,73.6,87.6,41.6,72.0
D_120,,,,,1.4,,60.2,,,,,,,,,,,,,,,,4.8,
D_121,97.6,72.2,89.0,70.2,111.8,82.0,68.4,65.0,69.8,92.2,88.2,93.6,71.8,85.4,94.2,75.8,76.8,83.8,47.4,66.2,75.8,65.8,76.4,62.0
D_122,2.8,84.4,31.4,,,10.8,31.4,,37.8,6.8,6.0,,,30.8,37.6,,,,4.6,,,,,
D_123,,,,,,48.8,,,,0.6,0.6,,0.6,,31.2,6.2,,,6.0,,0.0,,,
D_124,1.6,83.4,31.4,11.0,40.6,24.4,37.8,,45.8,8.2,7.4,31.0,41.8,36.6,52.6,44.8,38.2,,7.6,,,,,
D_125,,,,,0.4,2.4,,4.0,1.8,2.0,1.6,,1.2,0.4,,,,,1.2,,,,,
D_126,,,,,,,,,,,,,,,,,,,,,,,2.6,
D_127,,4.0,,,,,,,2.6,2.4,,,,,,1.8,,,1.0,0.2,,,,
D_128,,18.2,14.0,,8.8,,4.2,,7.8,5.8,4.4,7.2,8.0,6.4,8.0,4.6,6.2,,,,,,8.4,
D_129,,,,,6.0,,3.0,11.2,5.2,7.4,7.0,,9.6,3.6,4.0,1.8,5.2,,2.4,,,5.8,5.4,
D_130,,,11.4,,,,,,,,,,6.4,,,,2.0,,,,,,,
D_131,9.0,,,7.0,5.8,4.8,,,17.6,10.4,11.0,,5.6,2.4,3.6,11.0,2.6,12.8,12.0,17.0,,,10.8,6.8
D_132,8.0,,,5.2,6.0,3.2,,,,3.8,8.4,,9.6,5.8,7.0,73.4,,5.0,,,,11.4,6.6,5.4
D_133,86.6,78.8,79.0,88.8,110.6,61.4,68.4,68.2,87.2,81.0,85.4,66.0,76.2,72.0,81.2,93.2,60.0,60.4,75.4,78.0,71.6,92.8,70.8,83.6
D_134,1.6,,,0.2,3.0,,,,17.0,,,,3.0,3.2,4.8,,,,12.2,1.6,,5.0,1.0,0.2
D_135,,2.0,,0.0,,,,2.4,,,,,,,,0.4,,,1.6,,,,,
D_136,,,,,,,5.4,,27.2,,,,,0.0,0.0,,2.8,,2.4,,0.0,,,0.0
D_137,,2.2,,,,,0.2,1.0,1.8,,,,,,0.0,1.4,,,,,,,,
D_138,,3.6,,,,,,,6.4,,,,,,,1.0,,,2.6,,,0.4,,
D_139,,2.4,,,4.2,,0.4,,,0.2,,,1.8,1.4,1.2,,0.0,,0.0,1.0,,,1.8,0.0
D_140,,,,,,,,23.8,,13.2,16.6,,4.8,6.2,8.0,0.8,10.0,,0.0,,,,12.8,
D_141,19.0,,,,,9.8,,13.8,14.8,20.8,24.6,,15.4,18.4,,,,11.6,,,10.2,,,
D_142,15.4,,52.0,11.6,,20.4,,,21.2,,18.4,,,,24.0,,,16.2,,,,,18.6,
D_143,,4.0,,,3.8,,,,,1.0,1.0,,1.2,1.4,1.4,,0.2,,0.0,1.0,,,0.8,
D_144,87.6,67.2,77.8,103.4,88.2,66.2,77.6,77.6,73.6,95.8,90.8,68.8,71.8,70.8,75.0,65.6,56.6,80.0,82.0,72.6,78.8,83.0,72.6,102.0
D_145,,7.8,,,13.4,17.2,,30.8,3.8,6.8,6.2,,5.2,5.4,4.2,,1.4,,2.2,,,,5.0,
D_39,86.6,83.0,86.8,72.4,,91.4,149.4,166.2,180.4,111.2,88.0,98.6,42.8,51.2,36.4,148.4,0.0,,83.0,27.4,63.2,166.4,,97.0
D_41,,,65.6,68.4,5.0,17.8,49.6,79.2,,37.8,,49.6,9.0,9.4,6.6,,2.2,8.6,,11.0,,,7.4,65.6
D_42,9.2,192.8,54.8,10.0,140.0,9.0,75.4,7.4,68.0,12.6,6.8,,22.8,,,175.4,164.4,8.4,,,6.8,,,
D_43,86.6,199.2,92.2,75.6,119.4,97.0,257.2,110.8,269.6,127.0,111.4,93.4,84.2,100.6,130.4,145.0,137.8,88.6,107.2,134.0,97.4,126.2,96.2,65.6
D_44,,80.4,74.6,,9.8,52.6,79.6,161.4,70.0,50.2,40.2,52.4,,,27.0,35.6,9.0,,,,,86.4,12.8,47.0
D_45,73.0,65.6,63.6,50.2,81.6,66.2,41.4,50.6,50.0,62.0,64.4,37.0,49.2,57.8,55.0,67.2,45.6,93.0,52.0,48.6,82.6,64.0,47.2,70.6
D_46,87.8,132.4,80.2,45.2,143.2,57.8,210.0,145.8,103.4,171.0,75.0,60.4,63.4,100.0,142.0,132.0,111.2,119.0,79.6,93.8,192.0,85.4,63.2,42.0
D_47,84.4,90.8,73.6,45.0,77.0,53.2,85.8,54.4,97.6,85.2,69.0,51.0,101.6,107.4,85.0,87.4,66.4,64.4,56.4,90.0,81.8,75.0,86.6,55.2
D_48,112.4,59.8,76.8,102.8,74.0,87.6,141.2,172.8,82.6,147.8,84.2,74.2,74.2,73.2,82.2,119.6,63.6,172.6,79.4,78.8,274.8,98.4,77.8,113.4
D_49,3.0,77.6,,9.4,2.2,15.2,89.0,78.6,87.8,,,,8.8,2.2,,56.2,,,,,,,12.0,10.2
D_50,,65.6,40.2,35.8,38.0,55.6,65.8,68.4,88.0,49.8,57.2,51.8,72.6,,,91.4,47.4,,48.6,66.4,,,55.6,
D_51,4.6,50.0,71.6,,1.0,4.6,,,,,,,14.8,7.6,6.0,,,,3.2,,,,9.2,
D_52,94.0,51.4,78.4,108.8,70.4,79.4,63.8,84.8,62.6,72.2,96.8,65.0,59.8,72.6,66.4,53.2,66.0,89.8,56.6,64.8,89.6,65.6,65.4,91.2
D_53,,52.2,43.4,,,32.6,63.0,49.8,55.8,,29.4,36.4,,,,56.2,47.0,29.4,48.2,,57.8,57.0,,
D_54,2.2,35.4,,,8.4,,,,12.0,5.0,2.8,,0.8,0.4,8.0,,,,1.0,0.4,,2.2,,
D_55,119.8,,65.0,95.2,64.0,70.0,53.8,79.0,54.4,63.2,70.0,79.6,,31.8,52.8,,33.6,84.2,57.8,47.2,116.4,60.0,40.6,90.4
D_56,,73.6,50.4,,,29.2,67.2,,60.0,,,,,74.6,63.2,52.4,67.2,,48.6,36.0,60.8,35.8,35.6,
D_58,81.0,,52.8,55.4,46.4,45.6,48.0,42.4,37.8,63.0,66.4,36.2,38.0,41.8,36.8,52.2,40.2,75.8,55.2,41.2,80.2,66.4,41.6,47.4
D_59,48.4,85.6,87.0,39.6,,60.8,42.6,88.0,45.0,52.2,61.6,49.6,47.2,49.8,60.2,65.2,,4.2,35.2,,,102.8,,57.8
D_60,94.0,46.0,76.0,60.8,37.2,48.8,70.4,60.2,54.0,71.0,71.6,64.4,51.2,55.2,32.8,42.0,36.0,49.6,38.0,64.6,52.0,48.0,41.0,37.4
D_61,101.8,59.2,76.8,81.8,88.0,79.2,96.4,100.8,70.2,91.2,87.8,77.6,63.2,73.0,76.6,118.0,73.6,114.8,84.2,78.2,135.8,78.0,77.2,79.4
D_62,98.8,86.8,100.2,87.0,119.8,70.8,94.8,95.6,94.8,86.6,92.0,81.0,67.6,71.6,91.0,82.8,150.2,98.4,64.6,84.8,107.6,65.6,83.6,82.4
D_63,,,,,2.6,,,,,,,,,,,,,,,,,,14.8,
D_64,0.2,44.6,107.0,8.6,,10.0,16.6,23.2,21.2,23.4,34.6,61.2,28.0,18.4,11.6,3.4,20.2,0.0,5.6,,2.6,19.8,,6.4
D_65,,49.8,,,1.2,21.6,,,,,16.4,,3.4,3.6,1.6,47.6,,,42.6,,,55.0,,
D_66,,32.8,,1.0,0.4,4.2,,20.4,,10.0,16.2,,8.8,19.0,4.6,,,,16.8,,5.4,7.2,5.2,
D_68,4.4,18.2,17.2,11.8,6.0,13.2,5.0,20.0,7.2,6.0,9.6,16.2,12.0,10.8,12.0,4.2,3.0,0.0,4.8,,2.2,21.0,,7.0
D_69,84.8,75.8,78.2,68.2,83.8,76.2,84.0,73.0,79.8,74.0,76.6,65.8,85.2,87.2,99.2,80.2,76.0,80.4,73.2,76.8,84.6,76.2,78.4,74.4
D_70,22.6,78.6,79.6,,,20.2,,47.6,,44.8,38.0,39.8,,22.6,,,3.2,,,,3.0,85.8,6.0,7.2
D_71,91.6,59.6,73.6,52.2,73.8,54.8,67.4,68.8,50.8,83.4,72.0,51.4,65.0,86.6,76.6,52.2,48.6,82.4,49.0,62.8,100.4,56.8,58.0,58.8
D_72,,24.2,43.2,3.4,6.6,,,,8.2,11.6,5.4,,,3.6,4.0,,0.6,,4.4,,,,6.2,
D_73,,2.6,,,4.2,,,,,0.8,,,0.6,2.2,2.8,2.6,4.0,,5.8,,,7.8,0.0,
D_74,,48.4,76.0,31.6,,24.4,,50.4,,40.0,38.4,46.6,,,,,,,,13.8,,102.6,17.0,
D_75,39.8,,73.8,14.2,,20.8,,47.0,,44.6,51.2,50.8,,,,,9.4,,,,,75.6,18.8,
D_76,1.8,,,,11.4,2.2,37.8,,21.2,1.8,1.8,,19.6,6.4,8.0,,,,8.6,9.4,,,6.8,8.8
D_77,,83.6,92.8,,56.2,40.0,44.8,51.4,58.6,34.0,,40.8,56.0,54.8,79.8,74.2,102.0,37.2,105.2,37.0,37.8,93.4,42.2,
D_78,4.6,,,,1.2,20.4,,,9.6,7.2,11.6,,4.0,2.2,3.6,,,,3.4,,,,1.4,
D_79,,6.0,,,1.2,14.6,,41.6,8.6,14.8,,,2.2,0.6,0.2,0.6,0.2,,3.8,,0.0,,1.8,
D_80,,,53.8,,6.6,54.6,4.8,56.8,,41.8,51.8,62.8,11.4,13.0,,7.6,0.8,,3.4,,,,7.4,
D_81,,1.8,,,0.8,,,,,,,,0.0,0.4,0.6,0.4,,,2.6,,,,,1.2
D_82,,,,,2.0,2.0,,,11.8,3.0,2.4,,2.6,3.2,2.6,8.0,11.6,,10.0,,1.8,,3.0,
D_83,,2.4,,6.6,0.0,,,,0.4,2.2,19.2,,,,,0.8,,,0.6,0.2,,,0.0,
D_84,0.6,,,,0.0,4.8,0.0,,0.4,3.2,,,,0.2,,1.6,0.0,,0.6,,,8.2,,
D_86,,0.6,,,,,,,5.4,4.0,5.2,,0.2,,,0.0,,,0.6,,,0.0,,
D_89,0.2,0.2,,,,,,0.2,,,,,,,,,,,0.0,,,,,0.0
D_91,,,46.4,1.2,3.4,4.6,14.6,12.6,,13.4,7.4,,2.8,1.0,5.6,2.2,,,3.4,,,,1.8,
D_92,,,,,10.6,,,,,,,,,,,,,,,0.0,,,,
D_96,,3.4,,0.2,,0.2,,11.4,2.4,,13.2,,0.4,1.0,,3.0,,,1.6,,,4.4,,0.0
P_2,116.2,160.6,96.6,93.4,129.2,70.2,321.2,150.2,226.0,98.4,72.0,92.4,132.2,102.0,104.8,115.4,202.0,104.6,64.8,224.0,184.0,77.8,171.4,110.4
P_3,88.8,110.8,104.0,62.8,129.0,71.6,97.2,94.0,73.6,93.0,88.8,73.0,89.4,109.8,121.6,140.8,119.4,95.2,92.6,64.8,90.6,114.2,76.2,61.2
P_4,,,,,,11.6,,,8.6,6.0,15.6,,7.0,,42.8,,7.4,10.0,,,,,8.6,
R_1,23.4,66.4,102.6,15.0,1.2,14.2,67.2,34.2,93.8,50.0,39.4,81.6,6.4,4.0,6.2,20.2,1.0,1.0,9.8,8.0,3.8,54.2,6.6,14.8
R_10,2.6,7.2,19.4,4.4,,4.2,1.0,34.2,2.4,11.0,14.0,,1.4,2.0,0.8,,,,1.2,,,,,7.0
R_11,,65.6,81.2,,2.0,9.8,39.4,62.2,,,,,4.6,2.2,14.6,6.4,,,5.0,,,54.6,0.4,
R_12,,2.0,,,1.2,,,0.8,1.4,0.6,,,,,,,4.8,,6.8,,,,,
R_13,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.6,,
R_14,2.2,1.8,,,,,,8.2,1.2,,0.8,,,2.2,,9.2,,,12.6,,1.8,,,
R_15,8.4,,,,,5.4,0.4,,6.2,3.0,10.8,,,,,4.6,,,3.4,,,,,0.0
R_16,,37.2,58.2,,0.8,22.2,2.6,,,,29.2,,5.8,5.0,3.2,5.6,,,3.6,,,41.6,,
R_17,,0.2,,,,,,0.4,,,,,,,,,,,,,,,,
R_19,2.6,0.4,,,,1.2,,,,0.8,3.4,,0.0,,,,,,0.6,,,,,1.2
R_2,2.2,,,,,5.0,46.6,,,22.6,12.6,,,,0.2,2.4,,,2.2,0.2,,9.0,,
R_20,3.6,,,,,,9.4,,1.2,1.4,,,,,0.2,1.0,,,0.6,1.2,,,,
R_21,1.6,1.2,,,,,,,,,,,,,,0.4,,,,,,0.4,,
R_22,,2.0,,,,,,,,,3.0,,,,,0.2,,,,,,,,
R_24,,0.6,,,,,1.4,2.4,1.0,2.6,0.8,,,0.2,,0.0,,,0.4,,,0.4,,
R_25,,,,,,,,,1.8,,0.8,,,,,,,,,,,0.0,,
R_26,,,,,4.2,,9.0,,8.6,3.0,5.0,,6.6,4.8,5.4,,4.2,,,,,,11.6,0.8
R_27,109.0,110.2,91.8,76.4,90.6,67.0,93.2,86.4,83.8,85.2,84.8,79.2,107.8,117.4,82.4,111.6,120.8,104.4,84.4,91.8,87.0,82.4,112.2,68.6
R_3,,118.4,90.2,,,31.6,58.8,75.2,60.6,70.2,63.4,75.2,,,,59.0,5.6,,,,,84.8,14.0,
R_4,,2.2,,,0.0,,,,3.8,2.8,1.8,,,,,0.0,,,0.0,,,,,
R_5,2.2,4.0,,,0.0,1.4,,,11.4,1.8,0.6,,,,,,,,8.4,,,,,54.2
R_6,99.2,71.4,89.6,61.8,94.0,58.4,77.6,78.0,70.4,76.0,73.2,49.0,72.2,83.6,68.8,77.0,77.4,71.6,69.4,75.6,78.4,70.4,78.4,55.2
R_7,3.0,,,,0.2,2.4,38.8,,8.4,0.6,0.6,,1.6,,0.0,,,,5.2,,,,,
R_8,9.8,,,0.4,,3.0,,,12.6,4.0,5.0,16.2,0.4,,,2.4,,,1.2,,,,,1.8
R_9,,,10.8,9.6,18.2,2.2,2.4,,2.2,1.4,3.0,,3.6,6.6,14.4,10.6,,,11.6,4.2,2.2,,3.6,13.6
S_11,101.8,124.6,57.2,37.4,28.4,34.4,,86.6,78.2,65.0,49.8,43.6,68.0,56.4,69.8,85.0,30.8,26.8,,,,52.6,31.6,
S_12,83.6,115.0,76.4,54.6,75.6,47.6,83.8,97.8,90.0,94.6,84.4,49.6,78.4,77.2,69.8,71.4,113.0,80.8,89.6,94.6,79.0,104.8,89.4,61.2
S_13,44.6,,76.0,38.8,,32.6,,88.2,,58.2,55.0,68.4,,,,,3.2,11.4,,8.2,,63.4,8.8,38.2
S_15,79.0,129.8,73.8,,,34.4,,82.6,35.4,45.8,48.6,58.0,34.8,42.2,,44.0,,15.8,,,,64.4,12.4,
S_16,87.8,84.2,63.6,66.2,87.2,54.8,88.0,57.2,71.4,67.0,58.8,56.8,71.4,66.2,80.8,87.8,75.2,76.4,67.6,81.2,67.8,71.0,69.6,62.4
S_17,102.2,55.0,75.4,61.8,69.2,57.8,64.2,60.8,67.4,79.8,79.0,55.4,66.2,76.0,60.4,59.6,70.2,80.2,61.4,73.2,75.2,74.8,60.8,63.2
S_18,2.8,3.4,,,,,,,,2.2,1.6,,,0.8,,0.4,,,0.0,,,1.2,1.4,
S_20,6.8,1.0,,,,,,1.2,0.8,3.2,,,,,,0.2,,,0.4,,,,0.0,
S_22,81.0,27.8,52.0,65.2,66.2,42.0,68.6,88.6,41.4,75.8,67.6,45.8,52.2,44.2,46.2,70.2,42.6,90.8,54.2,51.6,117.6,56.4,54.2,58.8
S_23,71.4,88.0,88.8,81.2,73.4,63.4,101.6,75.0,83.6,77.6,87.2,56.2,86.2,74.8,77.8,80.2,76.0,89.2,72.0,84.2,87.8,114.6,79.4,78.4
S_24,85.4,34.4,51.0,62.0,49.4,46.2,94.8,87.2,45.8,63.6,59.2,41.2,43.6,47.6,41.6,85.2,35.4,82.8,58.4,63.2,113.8,52.6,49.6,70.4
S_25,79.8,60.0,102.2,76.0,107.2,69.0,94.6,62.8,79.0,78.0,98.4,65.2,75.2,60.0,75.0,117.6,70.4,81.8,65.6,75.2,93.8,93.4,87.0,66.2
S_26,79.6,103.6,78.8,60.2,95.0,42.4,82.6,61.4,84.0,68.6,76.0,50.6,73.4,94.4,76.8,109.6,73.0,72.8,107.6,76.2,77.6,85.6,76.4,59.0
S_27,70.6,77.8,76.2,55.0,85.0,66.6,87.2,68.6,60.4,73.6,86.4,79.6,80.6,76.6,78.8,87.6,72.2,97.0,73.4,73.8,104.2,71.4,80.2,66.2
S_3,92.0,241.6,86.8,94.8,114.2,68.4,276.6,87.8,214.6,74.4,83.0,62.8,101.4,125.0,137.0,170.6,167.2,96.2,106.4,143.0,124.4,111.0,102.2,82.4
S_5,78.8,67.8,95.4,53.8,69.2,44.8,86.6,65.4,55.0,67.4,80.8,47.2,64.4,66.0,75.8,74.4,69.2,80.4,57.6,51.0,141.0,64.2,58.4,51.4
S_6,0.6,4.0,19.2,,,,0.0,5.2,,6.0,2.6,,2.6,1.2,2.2,0.0,,,0.6,0.2,,,,
S_7,90.8,112.2,76.0,73.6,102.6,67.6,126.6,102.6,109.8,81.2,68.2,66.8,71.0,85.4,97.4,116.0,98.8,89.4,67.2,75.8,141.2,79.4,70.8,76.4
S_8,69.2,91.8,70.6,56.8,,52.8,52.2,57.2,84.2,87.2,69.8,85.4,55.4,66.8,54.0,58.4,,,64.2,,,81.2,,57.4
S_9,41.6,145.8,54.2,,49.2,39.6,123.6,99.6,125.0,50.2,37.6,,39.0,68.0,58.4,104.0,136.4,,67.0,52.6,46.6,72.2,43.0,
