base_feature,acceleration,avg,coef_var,displacement,first,general_trend,last,last_minus_avg,ma3_r1,ma3_r1_r2,ma3_r1_r3,ma3_r1_r4,ma3_r2,ma3_r3,ma3_r4,max,min,previous_sprint,range,second_last,sprint,std,third_last,velocity
D_112,8.5,30.5,25.5,7.5,2.0,22.5,34.8,32.5,39.4,33.4,32.2,15.0,8.5,7.0,8.0,,19.4,1.5,15.5,7.5,0.5,42.8,6.5,12.5
D_113,,17.5,34.0,,13.0,,,,8.0,18.5,14.0,25.5,14.0,,16.5,,,,,,,15.0,,
D_114,,,,,18.0,,38.0,,,,,,,,,,,,,20.0,,,13.0,
D_115,35.2,42.6,76.4,47.0,54.2,76.2,38.4,60.4,45.4,77.2,64.8,79.4,48.8,43.0,58.8,38.2,34.8,9.5,42.0,36.6,12.0,81.6,33.2,50.0
D_117,,,,,111.0,,102.8,,,,,,,,,,,,,101.4,,,89.8,
D_118,25.2,49.4,69.0,37.0,61.0,86.2,62.6,89.2,66.2,71.8,81.8,100.4,47.8,61.4,92.2,43.8,36.0,11.0,38.8,44.8,23.5,83.8,46.2,47.6
D_119,28.8,53.4,55.6,41.8,54.4,74.0,65.6,105.0,65.2,88.4,82.4,97.0,48.6,63.4,88.0,52.2,40.8,16.5,55.4,45.4,29.8,92.6,44.2,44.2
D_120,,,,,,,52.2,,,,,,,,,,,,,,,,,
D_121,28.2,80.4,92.8,34.8,96.4,54.2,69.6,69.6,74.8,82.6,114.2,100.6,81.4,91.0,93.2,77.2,76.6,9.0,26.2,52.0,16.5,90.6,63.8,41.0
D_122,,106.4,24.0,,24.0,,44.8,17.0,45.0,,6.0,16.0,44.2,26.5,53.8,21.0,23.5,,,20.5,,10.5,23.0,
D_123,,,21.0,,15.5,33.8,,,,,,38.25,,,19.0,,,,,,,12.0,,
D_124,,73.6,27.5,7.5,39.6,28.5,33.6,16.0,41.8,,8.5,31.0,44.4,38.6,58.6,37.0,39.2,,,31.5,,30.5,27.0,
D_124a,0.0,50.333333333333336,45.666666666666664,20.0,47.333333333333336,18.0,23.666666666666668,24.666666666666668,31.333333333333332,15.0,8.333333333333334,31.0,30.333333333333332,30.0,54.0,34.666666666666664,30.666666666666668,0.0,14.333333333333334,27.0,4.0,20.666666666666668,31.0,10.666666666666666
D_126,,,,,14.0,,,,,,,,,,,,,,,,,,,
D_128,,32.5,15.5,,11.5,,,,,,,14.0,,8.0,10.5,,,,,,,,,
D_129,,14.5,12.5,,,,,7.5,,8.0,,8.0,11.0,,,,,,,,,,,
D_131,,25.0,,0.5,0.0,,30.0,,40.0,,,3.5,,,,,,2.0,,7.0,,5.0,1.5,
D_132,,41.6,9.5,,,,36.2,13.0,20.5,,,,,,,45.8,19.5,,11.0,8.0,9.0,,,
D_133,1.75,33.0,8.5,1.0,8.0,2.5,18.5,10.5,20.5,2.5,6.0,8.0,9.0,5.0,14.0,73.0,19.0,13.0,26.0,9.0,11.5,13.0,8.5,1.0
D_134,,36.0,,,,,,,,,,,,,,11.0,23.0,,,,,,,
D_136,,,,,,,,,44.0,,,,,,,,,,,,,,,
D_140,,15.0,,,,,24.0,5.5,23.5,,,,,,,,,,,,,,,
D_141,2.0,17.5,16.5,1.5,6.5,5.0,8.0,16.0,8.5,7.0,15.5,16.0,,9.0,10.5,5.0,,,8.0,5.0,1.0,9.5,7.0,4.0
D_142,0.0,10.5,80.8,,10.0,15.5,15.0,13.5,9.5,,10.5,,14.0,11.0,17.0,17.0,14.0,6.0,13.5,10.0,8.0,17.0,7.5,5.0
D_144,54.75,35.0,51.5,24.5,14.0,29.0,14.0,71.0,15.0,62.0,50.6,49.0,20.0,18.0,17.0,10.0,2.0,13.5,12.0,11.0,14.0,38.5,10.0,32.5
D_145,,,,10.0,17.0,10.5,,19.5,,,,10.5,,,,,,,,,,,,9.5
D_39,75.0,91.0,83.4,80.2,16.0,94.0,176.6,139.4,157.0,113.6,99.2,109.0,52.8,57.4,35.0,148.2,,32.4,100.2,30.4,56.0,133.2,33.0,87.2
D_41,13.0,18.5,71.0,63.0,,10.0,52.2,70.0,22.5,35.0,46.6,56.6,8.5,7.5,,35.6,,5.5,18.0,,12.0,28.0,,56.0
D_42,4.0,163.6,38.4,,107.8,,41.6,7.5,57.0,,,,23.5,40.0,141.8,100.0,121.8,,17.0,20.0,2.5,27.0,9.0,8.5
D_43,79.0,217.8,110.0,75.0,103.4,86.8,225.0,128.4,239.8,109.2,99.6,98.6,95.8,115.8,122.6,134.4,86.2,50.8,111.2,109.2,68.8,119.2,79.6,72.8
D_44,5.5,74.8,68.6,35.8,11.5,53.8,79.0,144.6,59.6,54.6,43.2,47.8,23.0,17.5,23.0,33.6,,,16.0,11.0,,97.4,12.5,43.4
D_45,32.0,61.2,55.4,42.0,65.0,41.8,35.0,61.4,50.0,70.8,63.6,53.6,50.6,57.0,55.2,52.4,27.8,11.8,24.2,33.0,13.2,72.2,41.8,47.4
D_46,89.6,143.4,79.2,46.0,100.2,57.6,147.0,129.0,101.0,158.8,90.6,66.6,70.0,92.6,118.6,102.2,66.4,88.2,70.4,66.2,143.8,83.6,46.0,50.6
D_47,34.8,78.2,86.6,31.2,64.8,36.8,69.0,55.2,86.0,63.2,66.8,71.2,99.6,95.6,83.2,72.8,51.8,7.8,26.2,75.8,18.6,67.4,82.0,35.8
D_48,100.6,60.4,74.0,107.2,78.0,66.8,119.2,189.4,96.0,128.2,84.6,75.0,72.2,69.4,79.4,95.2,57.8,127.2,73.2,76.2,193.0,91.4,83.0,98.4
D_49,,62.0,13.5,6.0,,12.0,67.6,79.6,73.0,38.75,15.0,13.0,,,,42.2,30.4,,11.0,31.2,,17.0,8.0,13.0
D_50,17.5,73.8,43.8,16.5,26.2,57.8,61.4,60.0,88.8,53.6,56.6,53.6,65.4,41.2,39.8,57.6,26.6,15.5,35.6,51.8,16.5,42.6,40.4,15.0
D_51,,51.0,75.0,,,,7.5,19.0,17.5,16.5,24.0,46.6,,,,14.5,8.0,,,,,13.0,,
D_52,31.0,67.8,68.8,46.8,45.2,53.4,42.8,77.8,70.8,63.2,58.6,60.0,64.0,68.8,66.6,30.6,43.6,8.0,35.2,37.4,11.5,70.6,48.4,50.0
D_53,11.0,65.0,46.6,18.0,16.0,23.5,48.8,64.6,52.4,37.2,21.5,34.4,26.5,25.5,19.0,30.0,16.0,9.0,30.0,12.0,32.4,60.2,14.5,21.5
D_54,,30.0,11.5,,,,25.5,,8.0,,,4.0,,,,,14.5,,,,,,,
D_55,96.6,43.8,83.2,83.4,62.8,66.4,38.2,75.0,48.8,70.4,66.6,74.0,49.8,38.5,66.2,41.6,46.6,41.4,68.0,42.4,51.2,76.8,46.8,83.0
D_56,4.0,65.8,59.8,11.5,29.0,17.0,49.2,26.5,59.4,36.8,27.0,21.5,48.8,66.4,55.0,51.4,54.6,8.4,32.4,33.2,33.4,43.2,29.6,11.0
D_58,101.2,29.2,51.2,47.8,28.4,41.2,32.2,55.8,31.6,65.4,57.6,52.8,42.4,40.0,34.0,39.0,20.0,45.2,53.0,37.6,41.6,62.0,35.2,39.8
D_59,40.0,71.6,89.8,44.6,46.0,68.2,49.4,82.0,54.6,61.6,65.2,52.6,54.0,55.4,56.8,66.0,31.5,,41.4,45.6,22.0,101.2,20.0,64.8
D_60,74.8,41.4,73.6,40.6,37.8,50.2,66.4,60.2,55.0,81.4,74.4,70.4,47.8,56.6,38.6,39.0,31.8,35.8,45.0,65.0,29.6,51.4,50.0,37.6
D_61,97.4,64.4,74.2,78.0,67.6,82.0,84.2,89.4,65.2,85.8,76.2,74.0,73.6,73.2,69.8,92.2,56.8,83.0,61.8,78.8,85.6,88.4,70.2,82.8
D_62,43.2,115.8,104.0,57.4,61.6,63.8,48.4,90.2,100.6,74.0,82.4,80.8,62.6,55.2,78.8,46.8,84.0,30.4,48.2,46.2,31.0,72.6,50.2,62.0
D_63,,,,,,,26.0,,,,,,,,,,,,,13.5,,,,
D_64,,,,,,,39.5,,,,,,,,,,,,,28.0,,,25.5,
D_65,1.0,47.6,11.5,,,12.5,6.0,11.0,40.6,15.0,7.5,21.0,,,,51.8,,,41.6,,,53.4,,
D_66,,19.0,,,,,7.5,10.0,9.5,10.0,13.5,,7.0,13.5,,12.5,17.5,,5.5,,,5.0,,
D_69,26.2,47.2,45.0,29.4,7.5,41.2,14.5,62.4,21.2,36.8,41.8,48.0,25.2,29.4,26.6,7.5,1.0,5.5,1.0,16.5,7.0,37.8,16.5,27.6
D_70,18.5,74.6,95.2,10.5,16.5,24.0,10.0,44.8,19.5,47.6,50.0,45.6,29.0,27.5,22.5,13.0,,,7.5,10.0,,82.2,,
D_71,38.8,51.2,74.8,11.4,16.4,32.0,24.4,76.4,24.4,40.6,40.0,35.0,22.0,33.0,38.4,15.4,5.6,13.2,11.2,11.8,28.6,40.6,12.8,13.6
D_72,,40.5,69.5,,,,,,,9.0,,8.0,20.5,,,,,,,,,9.5,,
D_74,14.0,42.4,64.0,12.0,18.5,19.0,12.5,46.8,24.0,39.4,45.4,44.0,20.5,20.0,24.0,21.0,,7.5,15.0,9.5,,81.4,11.0,19.5
D_75,33.0,37.4,73.8,5.0,,26.0,8.5,42.6,17.0,54.4,51.0,57.6,19.5,25.5,14.0,9.5,,,13.5,11.0,,79.6,12.5,17.0
D_76,,21.5,,,7.0,,37.0,,11.0,,,,7.5,,,16.0,12.5,,,3.0,,,,
D_77,5.5,92.2,91.6,10.5,43.2,48.0,41.0,49.4,61.6,40.6,23.5,41.5,51.8,63.2,78.2,68.6,60.0,17.0,67.2,37.4,17.8,87.6,37.6,20.5
D_78,,12.0,18.0,,,15.0,,24.0,15.5,6.5,,,,,,,,,,,,15.0,,
D_79,,,,,,13.0,,43.8,,,,,,,,,,,,,,9.5,,
