base_feature,acceleration,avg,coef_var,displacement,first,general_trend,last,last_minus_avg,ma3_r1,ma3_r1_r2,ma3_r1_r3,ma3_r1_r4,ma3_r2,ma3_r3,ma3_r4,max,min,previous_sprint,range,second_last,sprint,std,third_last,velocity
B_7,50.4,33.8,43.0,43.2,33.8,37.6,77.4,49.4,41.2,52.0,47.8,28.2,36.6,44.0,25.0,54.2,26.2,60.4,45.4,46.6,68.4,54.2,29.0,47.6
B_8,,13.8,5.6,0.0,,0.2,0.8,0.6,3.2,,3.4,2.6,,,2.6,0.4,4.4,,,1.6,,0.2,1.4,
B_9,68.0,29.0,41.0,48.6,35.0,30.0,103.8,82.8,43.4,63.0,51.0,34.4,39.2,45.2,34.0,39.8,34.2,118.8,44.6,49.8,132.4,45.2,56.8,57.2
D_102,58.0,30.8,40.4,67.8,71.8,33.8,25.6,39.0,27.4,75.0,49.8,40.6,42.8,45.0,41.4,45.4,35.8,60.6,48.8,29.0,93.4,39.6,30.0,62.6
D_103,0.0,2.4,1.0,0.4,,0.2,0.0,0.8,,0.4,,0.6,1.0,1.4,,,,0.0,,0.0,0.0,,0.4,0.2
D_104,33.0,21.6,28.4,36.8,37.4,16.0,19.6,20.0,19.8,34.6,27.4,25.4,15.8,17.8,23.0,21.0,17.4,28.2,23.8,22.2,18.6,27.8,27.0,24.6
D_105,27.2,41.8,30.0,20.6,31.6,23.8,24.6,37.4,23.4,17.6,21.8,19.2,23.0,27.8,54.2,60.2,40.6,32.4,31.6,20.0,33.6,33.0,23.0,17.8
D_106,8.0,9.2,9.0,1.2,,6.0,7.6,6.0,6.6,,,1.2,2.2,4.0,1.8,3.2,3.2,1.0,2.2,2.2,2.0,2.8,,1.0
D_107,0.0,6.2,8.8,2.2,1.8,2.4,,5.6,3.0,2.4,3.6,5.4,2.6,,,,,0.0,,1.0,0.2,5.0,,2.2
D_108,0.0,1.4,0.0,0.0,0.0,,0.0,1.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,2.6,0.0,0.0,0.0,0.0,0.0
D_109,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_110,2.8,7.8,3.2,0.0,0.0,,,,,0.4,0.0,0.0,0.0,0.0,0.0,12.6,4.6,0.4,,0.6,0.2,0.2,0.0,0.0
D_111,0.0,,0.8,0.0,0.0,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.6,0.0,0.2,,0.0,0.0,0.0,0.0
D_112,24.0,21.0,21.0,15.0,6.0,21.6,32.8,26.8,29.2,22.8,20.0,17.6,10.4,14.8,12.0,1.8,25.8,7.2,27.8,15.6,6.6,30.6,6.8,13.4
D_113,0.4,14.8,26.8,1.4,5.6,3.2,2.6,4.6,6.8,11.2,12.8,17.6,8.4,4.8,6.8,2.2,4.0,0.0,,2.2,0.0,5.0,2.8,1.4
D_114,,,,,14.6,,24.2,,,,,,,,,,,,,17.8,,,12.0,
D_115,65.0,36.2,53.2,52.8,47.2,70.6,40.6,51.8,35.0,62.4,49.2,59.6,35.2,32.0,47.8,42.0,37.4,63.6,50.8,32.8,62.2,63.6,35.6,58.2
D_116,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,
D_117,,,,,82.0,,76.8,,,,,,,,,,,,,74.2,,,75.2,
D_118,64.8,40.2,43.4,52.8,60.6,64.6,31.8,47.0,34.0,50.2,44.6,62.8,29.4,38.6,80.0,39.0,62.2,64.4,40.0,33.4,65.0,49.2,30.4,51.8
D_119,72.0,33.0,43.6,52.6,59.8,68.8,38.8,45.0,33.8,45.8,40.8,67.8,34.0,35.8,65.6,39.6,61.0,61.6,37.2,38.4,55.6,59.0,34.2,56.4
D_120,,,,,,,47.2,,,,,,,,,,,,,2.2,,,1.4,
D_121,68.4,61.2,69.8,50.4,82.0,64.2,57.6,53.0,72.0,79.6,70.6,68.2,55.8,64.4,77.8,57.4,62.2,72.0,41.6,49.6,66.2,57.6,65.2,57.2
D_122,,55.4,17.8,1.8,18.6,4.4,22.0,9.2,29.0,4.6,5.2,10.2,24.6,16.2,27.8,13.4,14.8,0.0,2.2,11.8,0.8,9.4,10.8,2.8
D_123,0.0,4.6,9.2,1.0,13.4,22.6,0.0,2.0,0.0,,,23.6,,0.0,13.6,2.2,0.0,0.0,2.4,0.0,,5.8,0.0,4.6
D_124,,65.6,19.4,7.2,28.8,15.8,30.8,12.0,38.4,2.6,6.0,18.2,30.4,30.2,47.8,34.4,28.0,0.0,3.6,15.6,0.2,15.0,18.0,3.6
D_125,0.2,3.0,3.2,0.8,,,0.2,2.4,,,,2.4,,,1.6,0.6,0.0,0.0,,0.2,0.2,4.4,0.0,0.6
D_126,,,,,15.2,,1.2,,,,,,,,,,,,,1.6,,,,
D_127,0.0,1.2,1.6,0.4,0.0,,2.8,2.4,,,1.4,3.8,0.4,0.2,0.2,,0.0,0.0,,,0.0,0.0,0.0,0.0
D_128,,15.0,9.2,,6.6,,2.2,0.0,7.4,4.6,4.4,5.0,6.0,6.2,5.2,3.4,2.4,,,3.2,0.0,0.4,5.6,0.6
D_129,0.0,9.6,8.6,0.4,4.2,,,6.0,3.0,7.0,4.2,5.2,5.0,2.6,1.4,,2.2,0.0,,1.6,0.0,3.6,2.8,1.2
D_130,0.0,4.6,3.0,0.0,2.0,0.0,1.4,0.4,3.2,2.0,3.0,3.0,1.4,1.2,1.4,1.6,,0.2,0.2,2.6,0.0,0.2,2.6,0.0
D_131,3.6,5.0,3.8,5.4,5.4,1.4,5.4,4.6,9.8,2.8,3.2,6.0,3.0,,1.4,4.6,,5.0,3.8,6.0,1.6,9.0,5.2,4.6
D_132,2.6,24.4,5.6,2.2,3.0,,20.6,13.0,18.6,1.4,2.8,0.8,3.4,2.2,4.2,26.2,17.6,2.0,7.2,6.0,8.4,4.0,1.8,2.0
D_133,65.4,57.8,58.2,68.2,86.4,45.8,54.8,51.8,66.8,65.0,60.4,46.8,58.2,59.4,68.4,77.0,57.8,57.2,50.6,59.0,60.2,71.0,60.6,68.8
D_134,,14.2,2.8,,,,3.6,2.0,7.8,0.4,0.0,0.4,,,2.0,9.8,10.4,0.8,4.6,,2.2,3.0,,
D_135,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.4,0.0,,0.6,0.2,,0.0,0.0,0.0,0.0,0.0
D_136,0.0,3.0,1.6,0.0,0.2,,1.8,1.0,21.8,0.0,0.0,1.4,0.0,,,1.2,,0.2,,1.4,,1.0,0.0,
D_137,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
D_138,0.0,2.0,0.2,0.0,0.0,,0.0,0.8,2.6,0.0,0.0,0.0,0.8,0.2,0.4,,0.6,0.0,,0.0,0.0,,0.0,0.0
D_139,0.0,,0.2,0.0,1.8,,,0.2,0.0,,0.2,0.0,,,,0.0,,0.0,,,0.0,0.0,,
D_140,0.0,10.0,7.8,0.0,0.0,,18.0,6.8,16.8,1.8,4.2,2.8,0.4,0.8,1.6,,0.8,0.0,,2.2,0.0,0.4,0.6,0.2
D_141,7.0,6.4,9.2,9.4,16.2,5.0,5.8,8.8,6.6,10.4,12.2,11.0,3.4,6.4,6.0,8.0,2.8,4.4,11.8,5.0,5.0,6.4,9.2,7.0
D_142,9.6,6.0,24.2,4.6,8.2,10.6,6.6,7.0,8.4,4.8,5.2,4.2,5.4,6.6,9.2,11.8,9.6,7.4,14.8,5.6,15.2,11.6,5.4,5.2
D_143,0.0,0.4,0.0,0.0,2.0,,0.0,0.0,0.0,,,0.2,,,,0.0,,0.0,,,0.0,0.0,,0.2
D_144,57.6,44.4,60.6,70.6,77.0,60.8,51.4,51.0,52.0,62.8,57.6,49.8,59.8,54.6,52.4,46.8,44.8,64.6,64.4,50.8,61.6,62.8,57.6,81.4
D_145,0.0,4.8,2.2,5.8,6.6,6.2,0.6,13.6,1.4,2.4,3.4,5.0,2.8,2.4,3.6,2.2,,0.0,,1.2,0.0,0.6,1.8,8.6
D_39,62.6,75.4,64.2,62.4,11.8,69.4,143.6,127.0,135.2,74.6,70.8,75.4,29.6,33.8,30.6,107.0,,25.6,77.8,21.8,42.8,136.0,23.2,77.0
D_41,12.6,13.0,35.8,50.6,3.4,8.8,43.2,60.8,18.0,19.2,20.6,31.4,5.2,6.0,4.2,21.4,,5.0,15.6,2.6,12.0,19.6,3.0,49.2
D_42,6.8,133.2,36.6,4.2,83.8,2.0,48.8,8.6,41.4,4.0,3.4,4.4,9.8,18.4,129.4,120.6,106.4,4.6,12.6,16.6,6.0,19.2,8.0,7.4
D_43,59.0,170.0,74.6,55.8,100.8,72.6,209.6,81.8,201.4,86.8,77.4,77.8,68.4,82.8,103.6,113.0,123.8,69.4,87.6,109.6,70.6,87.8,77.4,56.6
D_44,21.4,51.4,56.4,25.6,7.0,34.8,62.0,119.6,43.4,38.0,33.6,39.8,14.8,9.4,18.8,20.8,3.0,1.2,15.2,10.8,3.4,66.2,7.8,35.8
D_45,56.6,48.0,36.2,46.8,75.8,48.2,39.4,43.4,32.6,48.0,51.4,31.2,45.8,45.0,46.2,53.4,31.4,72.8,36.2,37.4,69.2,54.4,34.8,49.8
D_46,67.4,108.4,65.0,32.8,109.2,50.0,170.8,118.4,85.8,125.2,65.6,48.4,57.6,77.8,114.0,108.6,93.0,100.4,64.2,65.4,161.6,61.6,49.2,38.6
D_47,60.0,62.2,59.0,35.0,53.6,41.0,70.4,38.4,75.0,66.8,55.8,40.6,83.2,81.8,69.6,65.2,53.2,59.2,44.0,73.0,60.2,61.8,74.2,46.6
D_48,78.8,48.2,61.2,76.0,59.0,62.6,117.2,152.8,72.0,112.8,56.6,59.6,53.6,51.2,66.6,86.0,50.4,147.6,62.6,60.4,210.2,80.2,52.4,82.6
D_49,,55.6,6.8,5.2,,11.4,55.8,47.0,65.8,20.2,9.4,8.0,3.2,,2.8,25.6,21.6,0.4,8.4,22.0,0.4,10.4,5.4,5.4
D_50,22.6,55.2,32.8,19.0,20.2,32.4,56.0,38.8,68.4,31.6,39.4,35.0,46.2,26.8,26.4,61.4,27.8,20.8,30.2,47.6,23.2,22.6,37.2,19.4
D_51,1.4,29.2,42.4,0.8,,2.4,7.6,10.6,16.8,15.2,17.0,25.0,4.8,4.4,3.0,11.6,7.2,0.2,,2.6,0.2,8.4,1.2,0.4
D_52,77.2,43.6,57.6,77.4,63.8,52.4,54.8,62.2,55.6,56.4,67.6,52.2,47.0,52.4,51.4,42.6,52.2,65.4,44.6,46.0,64.4,52.6,56.8,79.2
D_53,16.2,31.4,28.8,15.8,16.4,18.8,40.4,35.8,36.6,23.0,19.4,22.6,16.8,18.2,19.0,30.0,33.0,20.0,30.0,24.0,32.0,32.6,15.2,19.6
D_54,,19.6,5.4,1.0,2.8,0.0,6.0,1.0,6.2,3.2,,8.8,,,4.0,0.0,5.4,0.0,,,0.0,,0.2,0.0
D_55,90.4,22.6,55.0,72.2,51.8,51.2,35.0,66.6,37.6,51.8,50.0,63.8,25.4,23.4,36.6,25.6,29.6,59.0,46.2,31.4,87.8,48.0,37.0,78.0
D_56,15.6,47.4,35.6,13.4,17.8,16.2,46.0,19.4,33.0,22.8,18.2,20.0,29.8,49.0,36.2,45.0,52.8,21.6,31.2,24.8,38.6,29.0,26.6,7.8
D_58,65.8,22.6,37.6,38.0,26.4,38.4,28.8,40.0,24.2,43.0,42.8,26.8,29.6,33.8,28.4,39.4,27.0,59.8,39.6,34.2,66.4,51.4,30.0,37.0
D_59,37.2,49.4,66.4,31.8,28.8,48.0,32.2,63.2,37.4,32.8,48.4,38.6,30.4,35.2,39.4,48.2,18.2,5.2,27.0,24.6,14.6,77.8,16.2,43.6
D_60,73.4,34.4,62.0,43.0,26.6,38.0,57.6,42.4,42.6,49.0,56.6,52.8,34.8,34.6,28.6,35.6,28.6,42.2,33.8,45.4,40.4,42.8,41.4,29.0
D_61,70.8,51.0,57.8,71.4,62.0,55.4,67.6,66.4,51.0,63.8,55.4,56.0,46.6,53.6,52.0,88.4,47.6,91.2,61.4,52.8,104.8,68.8,60.0,60.2
D_62,76.2,78.6,72.2,68.2,85.2,53.8,80.0,69.4,82.4,77.6,72.4,65.4,57.4,63.4,72.4,60.0,128.4,81.6,53.8,70.8,71.8,49.6,71.4,65.4
D_63,,,,,,,13.2,,,,,,,,,,,,,7.2,,,4.6,
D_64,,37.8,76.2,5.0,4.4,5.6,14.0,10.4,17.6,20.2,30.2,40.4,19.6,15.4,8.4,,19.2,,3.4,6.6,,18.0,7.0,6.4
D_65,10.2,35.0,12.2,3.4,,9.0,6.6,11.6,26.8,8.0,7.0,18.4,,1.4,,41.2,0.0,0.4,33.4,0.2,0.8,43.8,0.4,2.0
D_66,0.0,18.8,4.2,,,1.4,6.8,6.8,10.4,7.4,10.2,2.2,5.0,11.6,2.0,12.2,11.0,1.4,7.0,2.4,1.8,5.4,2.8,0.4
D_68,3.8,14.4,14.8,5.8,4.2,7.8,3.6,13.4,6.6,6.6,7.4,13.0,10.0,6.2,7.8,1.6,,,3.2,2.8,,12.2,2.4,4.4
D_69,62.8,55.0,67.2,63.8,59.8,67.4,59.8,58.8,59.8,63.6,61.8,55.0,68.8,87.0,77.4,55.6,57.8,62.8,47.6,60.0,66.4,60.6,72.2,59.2
D_70,11.2,52.0,65.4,5.8,10.2,15.4,5.2,28.2,14.6,30.2,27.8,27.2,15.8,16.8,16.6,14.0,,1.4,7.4,5.8,,60.0,4.2,4.4
D_71,64.2,53.6,60.2,44.2,60.8,38.0,62.2,57.0,37.0,49.6,51.8,35.2,45.0,67.4,61.0,48.6,41.6,64.0,36.4,46.0,79.2,42.2,45.0,49.6
D_72,0.2,16.4,26.8,,3.8,1.4,0.4,1.4,4.4,6.8,2.2,8.0,5.4,1.6,2.0,1.8,,0.0,1.4,0.6,0.0,5.2,3.8,1.2
D_73,0.0,,4.6,0.0,4.0,1.4,0.0,0.4,0.2,,0.4,0.0,,,,,3.4,0.2,5.0,0.2,0.0,5.0,,0.0
D_74,15.8,25.0,53.0,16.8,11.4,14.0,8.6,32.4,12.2,30.8,29.4,31.4,16.2,11.2,14.4,12.0,4.0,5.6,11.4,7.4,4.6,71.2,9.0,16.0
D_75,28.0,24.6,47.6,10.4,4.2,18.4,6.2,41.2,11.8,36.2,40.2,36.8,14.0,19.6,8.2,10.6,3.6,4.6,7.6,7.6,4.6,61.4,7.8,13.0
D_76,,15.2,3.8,3.2,5.2,,21.4,2.0,9.4,,,2.8,6.4,1.6,2.0,16.8,12.8,2.0,3.8,8.4,1.0,2.6,3.8,4.2
D_77,15.6,56.2,62.2,16.6,44.0,27.4,34.4,30.2,51.0,25.8,21.2,24.6,41.4,44.4,57.4,72.0,73.0,21.6,70.8,26.8,26.4,65.2,25.0,15.2
D_78,2.0,10.8,6.6,2.6,,9.4,0.8,10.8,6.0,5.6,4.4,4.4,1.8,,1.2,1.2,0.0,0.4,,3.2,0.6,8.4,,3.6
D_79,0.0,1.8,4.2,1.6,,11.2,1.8,29.2,2.0,3.2,4.0,4.4,,,,,,0.0,2.2,1.0,,8.2,,0.4
D_80,12.0,16.8,43.4,12.8,3.6,31.2,2.4,36.4,9.8,32.6,33.6,48.4,6.2,5.8,12.2,5.0,,0.8,,7.6,0.6,18.4,5.2,15.6
D_81,0.2,,2.0,1.8,,0.2,0.2,0.0,0.0,0.0,0.4,1.8,,,,,0.0,0.0,,0.0,0.0,1.2,0.0,
D_82,0.0,10.8,5.4,0.6,,,4.6,3.6,6.4,,,1.2,,,,7.4,6.8,0.6,6.4,2.0,,7.0,,1.0
D_83,0.0,,4.0,2.8,,0.2,1.0,5.6,,,6.8,1.2,0.8,0.0,0.2,,0.0,0.0,,,0.0,0.8,,3.4
D_84,,1.4,2.6,1.2,,1.8,,1.0,,,1.2,1.4,1.2,,0.4,,,0.4,,0.4,0.0,2.4,0.2,1.8
D_86,0.0,,0.2,0.8,0.0,,1.4,0.0,1.4,2.2,1.8,4.6,,0.2,0.2,,0.0,0.0,,0.8,0.0,,0.4,0.0
D_87,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_88,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_89,,,0.2,0.0,0.0,,0.0,,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
D_91,0.4,6.2,28.0,,,2.8,2.4,4.0,7.0,6.0,2.8,3.2,,,4.2,,9.4,0.0,,0.6,0.0,2.4,,1.2
D_92,,,,,7.4,,0.0,,,,,,,,,,,,,,,,0.0,
D_93,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_94,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_96,0.0,,5.8,,0.0,,1.6,4.8,,10.8,7.6,1.0,,,0.0,,0.0,0.0,,0.0,0.0,3.4,0.2,
P_2,80.4,140.2,71.6,86.0,93.0,52.6,283.4,109.8,202.6,88.0,59.2,77.4,106.2,73.4,84.6,107.0,150.0,94.0,60.8,185.2,141.8,71.8,142.8,80.6
P_3,74.4,96.8,97.0,52.8,104.6,53.4,78.0,67.6,64.8,83.0,65.0,58.8,73.2,81.0,85.8,103.8,86.4,69.2,70.8,50.8,76.2,94.6,67.8,53.2
P_4,10.0,6.2,10.6,8.0,13.0,4.2,4.0,4.6,7.0,5.8,6.8,10.4,3.4,7.2,26.6,9.4,4.8,6.8,11.0,3.4,2.0,7.6,4.0,5.6
R_1,17.2,52.6,67.6,10.8,,11.8,58.0,23.2,76.8,42.2,40.0,63.6,4.2,4.8,4.8,16.8,,,9.4,4.2,1.6,43.8,3.8,11.0
R_10,,4.2,11.4,4.0,0.0,4.4,,26.4,,5.8,10.6,5.6,,,,1.6,0.0,0.0,,0.2,0.6,3.8,0.0,5.0
R_11,16.0,45.0,58.2,8.0,,2.8,25.0,45.2,13.0,12.0,9.8,24.2,1.6,,6.8,4.6,0.0,1.4,3.0,0.8,3.2,31.8,,3.6
R_12,9.0,,0.2,1.2,,,7.4,,,,0.2,0.4,0.2,0.0,0.6,0.0,4.4,0.0,3.6,0.0,1.0,1.8,0.4,2.6
R_13,0.2,,0.8,0.0,0.0,0.0,0.0,,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
R_14,,,2.2,0.0,0.2,0.0,1.2,4.2,,0.8,,1.2,0.0,,0.0,7.2,0.0,0.8,6.4,1.8,,5.6,0.0,0.0
R_15,5.2,6.6,5.4,0.0,0.0,1.8,,0.6,2.2,,3.0,8.2,0.0,0.4,0.0,0.6,0.0,0.0,,0.2,0.2,5.4,0.4,
R_16,8.8,25.4,40.6,3.4,,8.0,,16.6,9.6,13.6,15.6,16.0,2.2,2.4,,2.2,0.0,1.8,1.6,0.8,2.6,22.8,0.2,3.6
R_17,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
R_18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_19,,,3.0,0.2,0.0,,0.2,1.0,0.0,,,0.4,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.2,0.0,
R_2,,3.4,6.4,5.0,0.0,1.0,31.6,17.4,12.0,7.8,4.0,15.8,0.0,0.0,,,0.0,0.0,,,0.0,5.0,0.2,4.4
R_20,2.2,0.2,1.8,1.6,0.0,0.2,3.6,1.6,,,0.4,1.6,0.0,0.0,,,0.0,0.0,,,0.2,0.6,0.0,0.4
R_21,,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.2,,0.0,0.0,0.2,0.0,0.0,,0.2,0.0
R_22,0.2,,1.8,0.0,0.0,0.0,0.0,0.4,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
