base_feature,acceleration,avg,coef_var,displacement,first,general_trend,last,last_minus_avg,ma3_r1,ma3_r1_r2,ma3_r1_r3,ma3_r1_r4,ma3_r2,ma3_r3,ma3_r4,max,min,previous_sprint,range,second_last,sprint,std,third_last,velocity
B_1,81.8,22.0,40.2,36.0,28.2,22.6,148.8,54.4,31.8,54.2,43.8,29.8,27.4,23.2,20.6,35.8,27.8,67.4,28.2,29.2,107.8,32.2,29.0,40.4
B_10,58.2,25.4,57.6,45.6,34.6,45.8,63.8,58.4,44.2,75.0,49.0,44.6,36.2,36.4,28.2,25.4,46.8,62.8,27.8,50.4,59.8,29.6,35.4,44.6
B_11,66.6,28.2,44.6,28.4,29.2,25.4,142.0,54.0,44.2,50.6,37.6,24.8,26.4,24.0,27.4,36.2,37.0,74.6,29.0,40.6,85.6,31.6,27.6,42.4
B_12,56.8,39.8,54.0,41.6,39.8,34.6,33.4,49.6,32.2,59.8,61.8,48.2,36.8,43.6,49.6,39.0,32.4,58.0,25.8,37.4,53.8,41.2,32.6,40.0
B_13,62.8,32.0,55.4,60.2,57.8,37.8,31.8,48.2,34.6,64.0,52.4,38.8,34.6,31.2,43.4,34.0,36.6,66.4,34.8,33.0,60.4,46.0,34.6,53.6
B_14,50.8,24.6,49.0,37.4,29.0,29.8,89.2,75.6,41.4,52.0,36.8,31.8,26.6,28.6,26.2,26.0,30.4,81.6,27.6,33.0,80.4,39.0,35.2,40.4
B_15,58.6,58.4,66.8,60.2,67.4,56.8,63.8,71.2,68.6,52.2,58.4,56.4,61.0,53.8,58.8,51.2,53.2,76.4,54.8,64.6,46.4,54.0,55.2,56.4
B_16,17.6,14.0,39.8,15.0,9.2,12.4,2.8,22.8,6.6,19.0,41.4,49.8,8.8,13.8,15.0,5.8,2.4,2.0,8.6,2.8,2.4,31.6,4.4,18.4
B_17,47.4,74.0,61.6,24.0,43.0,35.4,71.0,62.6,75.4,40.2,40.8,38.4,50.2,47.2,63.8,71.6,76.8,77.8,72.0,60.2,76.2,58.8,48.4,26.0
B_18,92.4,25.4,57.8,28.8,18.8,26.4,54.8,46.4,27.4,53.8,53.8,28.0,25.6,23.8,17.6,17.4,32.0,53.4,33.0,23.2,59.0,38.6,19.6,27.0
B_19,20.2,21.6,46.6,11.0,8.6,14.0,11.8,15.4,19.0,36.2,28.8,39.8,18.8,19.4,13.2,22.0,4.2,3.8,20.8,8.8,3.4,33.8,9.6,13.0
B_2,59.6,40.4,40.2,48.0,46.8,31.0,116.4,54.2,113.8,74.4,47.2,33.4,56.4,39.4,29.2,33.2,63.6,68.0,32.4,72.4,57.6,51.0,41.4,50.8
B_20,22.0,10.2,32.6,15.0,1.8,8.8,10.6,23.0,10.8,20.0,25.2,21.8,9.4,8.8,5.4,4.4,0.8,3.8,7.4,5.2,5.6,28.8,3.6,19.0
B_21,65.8,69.4,72.0,53.4,60.2,44.2,51.6,51.2,44.8,62.2,53.8,50.8,56.8,59.4,46.6,65.2,57.2,57.6,59.4,60.6,73.8,70.0,56.4,53.6
B_22,3.4,19.6,44.6,3.0,,3.6,23.6,9.0,12.4,17.0,24.6,16.6,5.4,11.2,4.4,,,1.4,,3.0,0.4,10.6,3.2,2.0
B_23,66.2,24.6,43.8,38.2,28.8,27.6,81.6,45.0,34.6,54.6,46.0,29.4,31.0,38.4,20.4,44.6,27.8,62.0,41.0,34.0,75.2,54.6,23.0,47.8
B_24,64.8,52.4,57.2,51.0,58.8,46.4,67.8,66.6,56.0,56.6,56.0,43.4,59.0,60.2,53.4,64.4,51.0,54.8,47.8,48.0,67.6,59.2,60.2,51.6
B_25,68.4,25.6,45.0,30.2,35.8,30.8,41.0,45.6,27.8,46.8,44.2,31.0,26.8,31.6,38.6,24.6,35.6,70.6,24.8,37.0,111.6,29.8,36.4,31.6
B_26,51.2,57.6,62.6,53.2,64.0,50.6,70.8,48.4,79.2,61.6,64.4,43.4,57.2,58.4,43.8,55.4,53.8,59.8,44.8,67.0,69.2,58.6,59.8,58.4
B_27,62.2,55.6,56.2,52.8,65.8,40.8,51.2,47.2,58.4,58.2,54.8,36.8,67.6,60.4,53.8,50.2,45.6,64.6,42.6,53.8,53.4,55.2,59.8,43.8
B_28,62.0,19.4,51.6,43.8,27.8,26.6,34.0,47.4,21.0,51.2,48.4,34.4,21.2,30.6,42.2,27.2,21.8,77.0,35.8,31.6,93.8,42.0,22.8,50.0
B_29,10.6,20.2,12.4,2.2,5.0,3.0,7.6,9.6,8.0,6.0,2.6,5.2,9.6,5.0,8.6,17.0,20.2,6.8,13.0,12.2,11.0,10.0,8.0,1.8
B_3,53.8,39.6,68.0,77.6,41.8,33.8,165.2,92.8,67.0,58.8,53.0,33.2,40.2,38.2,32.0,85.6,29.0,64.8,59.2,75.0,108.6,79.0,39.4,95.4
B_30,,,,,,,5.2,,,,,,,,,,,,,1.2,,,1.2,
B_31,,0.0,0.0,0.0,0.0,0.2,0.0,,,,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_32,0.0,1.4,2.4,0.0,0.0,,,1.8,2.4,,,0.2,,0.4,,0.2,0.0,0.0,,0.6,0.0,0.8,,0.0
B_33,12.4,6.6,19.2,1.0,,2.6,3.4,14.2,3.0,9.8,9.6,6.2,1.2,,,,,0.8,,1.0,1.2,12.4,0.0,1.4
B_36,,,,,,,,,,,,,0.0,,,,,,0.0,0.2,,0.0,0.0,
B_37,61.8,18.6,56.6,30.0,24.8,24.4,103.2,52.6,29.8,59.8,43.4,25.4,19.6,25.4,22.6,34.6,31.6,77.0,25.8,30.6,97.4,36.4,29.8,33.2
B_38,,,,,73.0,,51.2,,,,,,,,,,,,,42.4,,,38.2,
B_39,,3.8,4.6,0.0,0.0,,2.8,4.0,3.2,,0.0,0.0,4.4,0.0,0.0,,5.6,1.6,1.4,3.0,1.4,1.6,,0.0
B_4,84.4,58.8,63.2,90.0,33.0,60.6,171.2,162.4,103.4,63.4,50.6,48.4,63.8,61.4,49.8,137.6,27.4,43.4,86.2,68.6,46.2,155.0,41.0,145.6
B_40,62.6,36.8,63.8,35.4,35.0,35.8,47.0,51.6,38.8,56.4,69.2,34.4,42.0,48.4,33.4,70.0,24.4,53.2,62.0,43.4,64.4,74.8,37.4,43.2
B_41,0.2,1.6,2.6,4.2,,0.0,0.2,1.6,0.0,0.2,,0.6,0.0,0.0,,,0.0,0.0,,0.0,0.0,3.4,0.0,
B_42,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_5,59.0,43.8,89.4,64.6,42.4,40.6,172.6,76.2,127.4,78.0,66.2,50.6,60.4,51.4,42.6,39.4,68.2,55.2,34.2,66.0,69.6,38.2,50.8,57.8
B_6,60.8,18.8,89.2,33.0,32.6,35.4,41.8,42.8,21.2,106.0,48.2,35.6,34.4,29.0,28.8,20.0,48.8,59.0,24.8,29.8,65.2,26.8,26.8,35.6
