feature,first,second_last,last,avg,max,min,range,std,displacement,sprint,previous_sprint,last_minus_avg,velocity
D_133,212.4,178.0,135.4,169.2,169.0,155.2,128.8,169.0,167.8,152.4,172.8,151.2,175.2
D_134,,,7.4,29.6,19.8,,,10.6,,8.8,3.8,6.0,
D_135,,,,,,,,3.6,,,0.2,9.6,
D_136,,3.8,,6.2,,,,6.2,,,0.0,3.2,
D_137,,,,,,,,3.4,,,0.0,11.2,
D_138,,2.4,2.2,,,,,9.6,0.6,,0.0,22.2,1.6
D_139,,,,,,,,4.4,,,0.0,2.6,
D_140,,4.4,37.0,28.2,,,,3.4,,,0.0,13.6,0.4
D_141,,17.2,17.0,21.2,28.2,16.8,,23.4,25.0,14.2,19.4,23.2,18.8
D_142,,24.0,27.6,29.0,34.4,,,45.2,15.2,43.2,21.0,23.6,17.8
D_143,,,,,,,,3.6,,,0.4,1.4,0.6
D_144,205.6,140.8,151.0,137.0,134.4,137.0,134.2,162.0,182.6,163.0,184.0,147.6,200.2
D_145,,4.2,3.6,18.0,6.8,,,7.0,4.4,,0.8,50.6,9.0
D_39,,105.0,191.2,159.2,129.8,,109.2,220.6,69.4,66.8,65.4,192.8,113.2
D_41,,9.4,66.2,32.2,37.4,,,36.2,78.2,30.4,21.0,67.2,66.2
D_42,135.0,29.2,73.8,183.4,167.2,161.0,,54.4,14.4,15.4,9.8,17.0,11.8
D_43,219.8,239.2,379.0,311.4,233.0,262.2,211.2,219.0,142.2,210.0,202.8,232.0,124.6
D_44,,25.8,74.8,74.0,24.0,,,100.2,18.4,5.0,2.0,142.6,55.8
D_45,136.2,93.6,85.2,104.2,119.8,82.8,100.6,137.0,115.6,142.2,220.6,122.6,123.2
D_46,242.6,201.0,278.4,228.6,235.6,213.4,155.4,188.4,97.4,284.6,235.0,249.6,96.2
D_47,151.4,189.0,193.8,185.0,169.0,103.4,120.2,143.8,108.8,171.0,171.2,124.2,118.2
D_48,175.0,180.2,217.2,148.2,221.6,150.8,153.0,192.8,173.8,401.6,285.2,298.4,152.8
D_49,,33.0,69.6,,35.2,,,44.4,9.8,1.6,3.6,77.4,23.6
D_50,52.8,90.0,123.2,115.8,110.6,66.2,75.2,63.2,59.4,70.0,58.0,96.8,55.0
D_51,,8.8,25.4,75.2,,12.0,,24.6,2.6,0.2,1.4,35.6,1.0
D_52,175.6,129.4,138.6,120.0,125.8,134.2,128.2,141.4,187.8,172.4,183.8,166.2,201.8
D_53,,63.0,108.4,80.0,,82.4,77.2,69.6,37.2,69.4,52.0,85.6,37.8
D_54,,,27.6,35.2,,,,12.2,7.6,2.2,0.2,5.2,7.2
D_55,146.4,110.0,111.8,72.0,79.8,79.4,103.2,106.8,177.6,206.2,165.8,164.8,197.0
D_56,,76.8,106.8,,133.2,120.4,82.0,75.6,35.6,84.8,58.8,51.0,34.2
D_58,82.0,93.0,94.0,70.2,91.8,91.6,117.0,113.2,101.0,168.4,172.4,109.4,110.6
D_59,,51.2,58.8,128.2,75.8,38.0,,120.4,34.4,33.2,14.0,87.2,54.6
D_60,94.8,122.4,119.8,96.2,94.6,109.6,89.0,101.0,98.8,117.4,148.0,120.4,101.8
D_61,190.2,145.6,187.0,136.2,213.2,144.6,170.8,160.2,176.6,268.8,232.8,185.8,171.8
D_62,206.0,194.6,196.6,195.2,153.8,248.2,128.2,154.0,174.0,211.6,212.4,194.0,191.6
D_63,,13.8,29.6,,,,,,,,,,
D_64,,49.4,56.0,,,,,,,,,,
D_65,,2.8,4.4,54.2,62.4,,,56.0,6.0,4.0,2.0,16.2,6.0
D_66,,77.4,,,,,,22.8,,,0.0,11.2,3.2
D_68,,76.8,74.6,,,,,,,,,,
D_69,167.4,180.8,165.6,164.8,159.2,178.6,134.2,202.6,151.6,193.0,161.6,139.8,158.6
D_70,,10.2,10.4,109.8,19.6,,,116.6,7.6,,1.6,55.8,13.2
