iter	AmexMetric	Logloss
178	0.8033299418	0.2258342035
179	0.8034584419	0.2257071057
180	0.8037275041	0.2255987596
181	0.8038731113	0.2254996884
182	0.8040270561	0.2253947968
183	0.8041370992	0.2253061532
184	0.8043312223	0.2252174965
185	0.8043667128	0.2251333488
186	0.804609931	0.2250316994
187	0.8046350463	0.224918347
188	0.8049384302	0.2247919991
189	0.80510697	0.2246910253
190	0.8053147331	0.2245644204
191	0.8054311033	0.2244490068
192	0.8055797089	0.2243335563
193	0.8056957363	0.2242212926
194	0.8057943203	0.2240978922
195	0.8059600541	0.2239913688
196	0.8063150176	0.2238864807
197	0.8065955332	0.223766699
198	0.8065245387	0.223675318
199	0.806652622	0.2235828858
200	0.8069020917	0.223462366
201	0.8072587754	0.2233519945
202	0.8074243255	0.2232754287
203	0.8074204914	0.2231508414
204	0.8076522403	0.2230500859
205	0.8077981168	0.2229697265
206	0.8080642581	0.222841234
207	0.8082180692	0.2227503753
208	0.808088219	0.2226928893
209	0.8083219162	0.2226016629
210	0.808565653	0.2225155274
211	0.8087967929	0.222388849
212	0.8089354789	0.2222924941
213	0.8091589144	0.2222038085
214	0.8094564237	0.2220914186
215	0.8094519707	0.221990846
216	0.8096889505	0.2219137358
217	0.8097419462	0.2218399708
218	0.8099171407	0.2217692353
219	0.810016848	0.221689219
220	0.810193227	0.2215869809
221	0.8104053173	0.2214955156
222	0.8103733536	0.2213956207
223	0.8105630435	0.2212835992
224	0.8106122164	0.2212097554
225	0.8108294921	0.221120549
226	0.810916298	0.221035772
227	0.8111280435	0.2209520254
228	0.8113929369	0.2208506158
229	0.8114479355	0.220745675
230	0.811459307	0.2206753647
231	0.8115651808	0.2205549265
232	0.8116752302	0.2204879967
233	0.8118493166	0.2204067807
234	0.8119376031	0.2203102416
235	0.8120725906	0.2202203635
236	0.8120992992	0.2201388592
237	0.8123272705	0.2200546963
238	0.8125447333	0.2199540445
239	0.8126962855	0.2198638457
240	0.8127251171	0.2197563424
241	0.8129582747	0.219659017
242	0.8131697322	0.2195127277
243	0.8132711144	0.2194452579
244	0.8133292939	0.2193610954
245	0.8135283584	0.2192805442
246	0.8135538789	0.2191730416
247	0.8137638771	0.2191031296
248	0.8138928334	0.2190328463
249	0.8140792604	0.2189482396
250	0.8141208952	0.2188857964
251	0.8142681693	0.2188036187
252	0.8144079486	0.2187179134
253	0.8145036049	0.2186354283
254	0.8146897139	0.2185475712
255	0.8148295675	0.2184431119
256	0.8151252687	0.2183764408
257	0.815124795	0.2183126309
258	0.8151033061	0.2182391231
259	0.8152529034	0.2181558363
260	0.8151810458	0.2180860418
261	0.8153916404	0.2179911203
262	0.8156118943	0.2179286646
263	0.8156725314	0.2178360819
264	0.81580637	0.2177665042
265	0.8160607455	0.2176842871
266	0.8161367908	0.2175972014
267	0.8162951693	0.2174870864
268	0.8163884623	0.2173917734
269	0.8166630123	0.2172967691
270	0.816729157	0.2171920162
271	0.8167507208	0.2171109134
272	0.8168364179	0.2170432402
273	0.8170810059	0.2169395375
274	0.817229127	0.2168741097
275	0.817329589	0.2167793591
276	0.8174427308	0.2166855557
277	0.8175625434	0.2165961124
278	0.8177762672	0.2165084772
279	0.8179142171	0.2164232259
280	0.818154182	0.2163035928
281	0.8182884183	0.2162330418
282	0.8184248765	0.2161209672
283	0.8187145253	0.2160234536
284	0.8187865517	0.2159138288
285	0.818889925	0.2158265344
286	0.819059551	0.2157228728
287	0.8192498661	0.2156225321
288	0.819403466	0.2155177211
289	0.8194625547	0.2154330657
290	0.8196844455	0.2153552204
291	0.8197573796	0.2152756736
292	0.819776258	0.2152139667
293	0.819994798	0.2151123292
294	0.8200822471	0.2150559226
295	0.8201428349	0.2149626211
296	0.8203657308	0.2148669744
297	0.82058964	0.2147770716
298	0.8207722591	0.2146665565
299	0.8206870987	0.2145872982
300	0.8209054822	0.2144995888
301	0.8208365557	0.2144213681
302	0.8211272058	0.2143231144
303	0.8213426289	0.2142137345
304	0.8215456189	0.2141079571
305	0.8217029107	0.2140287388
306	0.8217686572	0.2139136512
307	0.8219384888	0.2138449973
308	0.8220731919	0.2137670167
309	0.8222761568	0.2136729924
310	0.8223833279	0.2135760004
311	0.8225676757	0.2134981923
312	0.8228296966	0.2133914904
313	0.8228571712	0.2132909706
314	0.8230700706	0.2131571514
315	0.8232564408	0.2130396176
316	0.8234018829	0.2129373411
317	0.8235183611	0.2128214335
318	0.8236909026	0.212713413
319	0.8237859194	0.2126173707
320	0.8238615943	0.2125308213
321	0.8241510191	0.2124059368
322	0.8242503015	0.2123081239
323	0.8244660709	0.2121933146
324	0.8246406944	0.2120595613
325	0.8248438885	0.2119402285
326	0.8250654472	0.2118277494
327	0.8250995305	0.2117089252
328	0.8253848684	0.2116100062
329	0.8256473275	0.2114987107
330	0.825708318	0.2113963664
331	0.8259654942	0.2112691516
332	0.8261795048	0.2111347106
333	0.8264407988	0.2109670886
334	0.8265253444	0.2108554536
335	0.826811105	0.2107206092
336	0.8270447821	0.2105856501
337	0.8272301558	0.2104884744
338	0.8275523031	0.2103755084
339	0.8277261781	0.2102677849
340	0.8278601534	0.210179764
341	0.8280414101	0.2100590473
342	0.828259931	0.2099308405
343	0.828524925	0.2097943183
344	0.828678324	0.2096977815
345	0.8289795516	0.2095809113
346	0.829187217	0.2094473683
347	0.8293788406	0.2093438888
348	0.8294816841	0.2092732447
349	0.829601391	0.2091434639
350	0.8297243609	0.2090601826
351	0.8299425136	0.2089560731
352	0.8302086234	0.2088051889
353	0.8305046914	0.2086772466
354	0.8307137328	0.2085534654
355	0.8310072364	0.2083852329
356	0.8314176694	0.2082481976
357	0.831398574	0.2081823949
358	0.8314870426	0.2080926156
359	0.831823678	0.2079645033
360	0.8319076913	0.2078563586
361	0.8321477227	0.2077381078
362	0.8323272442	0.2076082126
363	0.8324389097	0.2074941635
364	0.8326638836	0.2073991096
365	0.8329269993	0.207259718
366	0.8332256533	0.2071520142
367	0.8333387737	0.207048833
368	0.833683188	0.2069011064
369	0.8338046826	0.2067735963
370	0.8339804506	0.2066881171
371	0.8341561513	0.2065539867
372	0.8344225462	0.2064366557
373	0.8347053275	0.2062798515
374	0.8348382844	0.2061489232
375	0.8351239924	0.2060173277
376	0.8353373256	0.2058812251
377	0.8355097626	0.2057700329
378	0.8358390257	0.2056471348
379	0.8359741667	0.205556166
380	0.8360721175	0.2054392713
381	0.8362708757	0.2052987528
382	0.836570452	0.2051913545
383	0.8367706691	0.2050852997
384	0.8369664863	0.2049520227
385	0.8372711329	0.2048457906
386	0.8374322296	0.204738529
387	0.8376675405	0.2046179651
388	0.8378464894	0.2044942581
389	0.8378723252	0.2044316245
390	0.8383056369	0.2042842759
391	0.8383746241	0.2041866984
392	0.8385806447	0.2040707178
393	0.8389239189	0.2039671292
394	0.8390521213	0.2038468607
395	0.8390883056	0.2037411774
396	0.839239618	0.2036646083
397	0.8395763756	0.2035504537
398	0.8397443303	0.2034117153
399	0.839964028	0.2032562988
400	0.8400718497	0.2032102565
401	0.8402351505	0.2031110691
402	0.8404990477	0.2029681998
403	0.8406107001	0.2028523767
404	0.8408144543	0.2027771503
405	0.84103237	0.2026892189
406	0.8411780721	0.2025639722
407	0.8413292246	0.2024302766
408	0.8417357145	0.2022813682
409	0.8419921908	0.2021600027
410	0.8421333645	0.2020510553
411	0.8422885188	0.2019633759
412	0.8425591058	0.201875106
413	0.8426919505	0.2017934583
414	0.8427959552	0.2016509973
415	0.8428065321	0.2015991782
416	0.8431631764	0.2014918422
417	0.843419504	0.2013869988
418	0.8435649187	0.201296905
419	0.8436451451	0.2011915271
420	0.843822348	0.2010658167
421	0.8440290468	0.2009419339
422	0.8442025595	0.2008636783
423	0.8445666357	0.2007214298
424	0.8446922606	0.2006145337
425	0.8448856096	0.200487696
426	0.8450758523	0.2003738316
427	0.8451968322	0.2002810278
428	0.8455233284	0.2001195422
429	0.8456827924	0.1999994177
430	0.8457120762	0.1999281761
431	0.846000972	0.1998345281
432	0.8462300356	0.1996803112
433	0.8464103626	0.1995356208
434	0.8465584781	0.1994176386
435	0.8467118925	0.1993189179
436	0.8469617742	0.1992091328
437	0.8470916849	0.1991318728
438	0.8472411405	0.1989991608
439	0.8475031903	0.1988904557
440	0.8478029517	0.1987569077
441	0.8480332307	0.1986307349
442	0.8482023284	0.198533942
443	0.8484110305	0.198430374
444	0.848610596	0.198289007
445	0.8488414862	0.1981615235
446	0.8489701782	0.1981068418
447	0.8491268412	0.1979663516
448	0.8492463869	0.197841999
449	0.8496061811	0.197690124
450	0.849806443	0.1975608193
451	0.8500303757	0.1974581713
452	0.850175372	0.1973372699
453	0.8502475466	0.1972627544
454	0.8504829094	0.1971677292
455	0.8505230645	0.1971213231
456	0.8506199997	0.1970061908
457	0.8507922946	0.1969442166
458	0.8508451177	0.1968668108
459	0.8510258824	0.1967455371
460	0.8512189713	0.1966203685
461	0.8515613614	0.1965412438
462	0.8516687773	0.1964889888
463	0.8518596851	0.1964179157
464	0.8520475403	0.1962944411
465	0.8520019864	0.1961914216
466	0.85226332	0.1960956588
467	0.8524058929	0.1959811643
468	0.8525371551	0.1958699176
469	0.8527291543	0.1957492195
470	0.8530926266	0.1956513191
471	0.8532643133	0.1955899952
472	0.8535687934	0.1954746316
473	0.8536283998	0.1953742983
474	0.8537908208	0.1953121535
475	0.8539615738	0.1952044282
476	0.8541839247	0.1950543789
477	0.8542979639	0.1949639897
478	0.8545469836	0.1948624161
479	0.8548065983	0.1947283493
480	0.8549550825	0.1946564933
481	0.8552224728	0.1945485303
482	0.8553380894	0.1944492285
483	0.8555644447	0.1943541243
484	0.8556819001	0.1942684505
485	0.8558007142	0.194187536
486	0.8557630793	0.1941240226
487	0.8560358131	0.1940317667
488	0.8562878255	0.1939789215
489	0.8564789447	0.1938571993
490	0.8566883458	0.1937901305
491	0.8567120929	0.1937610453
492	0.8567674649	0.1937238462
493	0.856873248	0.1936226146
494	0.8569123264	0.1935665884
495	0.8569604117	0.1934882619
496	0.8571265031	0.1933662587
497	0.8573236617	0.1932755789
498	0.8576266655	0.1931324156
499	0.8577859712	0.1930619916
500	0.8579345539	0.1929422897
501	0.8578851483	0.1928803575
502	0.8579872576	0.1928068468
503	0.8582662546	0.192660784
504	0.8586065026	0.1925485409
505	0.8587361818	0.1924548773
506	0.8588642448	0.1924170352
507	0.8589011373	0.1923650623
508	0.8589701421	0.1922832911
509	0.8591633202	0.1922098098
510	0.8592277896	0.1921598073
511	0.8594107936	0.1920500619
512	0.8595382905	0.1919742779
513	0.8597488273	0.1918756904
514	0.85996305	0.1917417674
515	0.8601289903	0.1916315801
516	0.860282311	0.1915633837
517	0.8603316819	0.1914693279
518	0.8604717741	0.1914203206
519	0.8605932365	0.1913358111
520	0.8606711252	0.1912383544
521	0.8607869114	0.1911721732
522	0.8609592038	0.191078558
523	0.8610362681	0.190967839
524	0.8612051647	0.1909163507
525	0.8613913001	0.1908224101
526	0.8616482629	0.1907409431
527	0.8618690696	0.1906333155
528	0.8619466431	0.1905412818
529	0.8620793693	0.1904738568
530	0.8623071563	0.1903661524
531	0.862385323	0.1902886875
532	0.8626135056	0.1901969699
533	0.8626874711	0.1901312429
534	0.8628340323	0.1900968689
535	0.8630661349	0.1899937739
536	0.8631452973	0.18994348
537	0.8632538022	0.1898794692
538	0.8633127966	0.1898398455
539	0.8636292956	0.1896870282
540	0.8637331392	0.1896387086
541	0.8637908426	0.1895687612
542	0.8638841504	0.1894871258
543	0.8639900715	0.1894181819
544	0.8643189553	0.1893125754
545	0.8643985813	0.1892453461
546	0.8645551991	0.1891488442
547	0.8647109144	0.1890943907
548	0.8648761733	0.1890200025
549	0.8650972378	0.1889190369
550	0.8651601978	0.188864911
551	0.8653322318	0.1888185959
552	0.8653944196	0.1887544431
553	0.8655977944	0.1886262625
554	0.8658519504	0.1885050033
555	0.865988141	0.1884276843
556	0.8661770875	0.1883758944
557	0.8664381586	0.1882784668
558	0.8666255361	0.1882029226
559	0.8667431198	0.1881298301
560	0.8668231651	0.1880749492
561	0.8669057356	0.1880289693
562	0.8670765523	0.1879528548
563	0.8671505049	0.1879040144
564	0.8671600348	0.1878568608
565	0.8673011984	0.1877756706
566	0.8674412465	0.187728932
567	0.8674902678	0.187670933
568	0.8676711779	0.1875972313
569	0.8677291667	0.187543883
570	0.8679479279	0.1874343408
571	0.8680046702	0.1873524281
572	0.8680938828	0.1872886976
573	0.8681531841	0.1872194986
574	0.8682846769	0.1871330623
575	0.8685939248	0.1870074314
576	0.868663077	0.1869393209
577	0.8687775741	0.186844763
578	0.8688888018	0.1867916866
579	0.868975892	0.1867293399
580	0.8692014895	0.1866296396
581	0.8693140082	0.1865747204
582	0.8694018339	0.1865247108
583	0.8694898737	0.1864764377
584	0.8696199029	0.1864028758
585	0.8697783502	0.1863194055
586	0.8699032655	0.1862545771
587	0.8700301189	0.1861653672
588	0.8701744184	0.1861026542
589	0.8702953734	0.1860666835
590	0.8703466015	0.1859860363
591	0.8707336087	0.185893925
592	0.8707491812	0.1858331021
593	0.8708277049	0.1857339437
594	0.8709678993	0.1856600741
595	0.8710695127	0.1856042113
596	0.8713397081	0.1854874243
597	0.8713657558	0.1854222939
598	0.871534151	0.1853431576
599	0.8716283907	0.1852927113
600	0.8717249209	0.1852360683
601	0.8717479232	0.1851908361
602	0.871812604	0.1851019369
603	0.8718603783	0.1850143388
604	0.8719389767	0.1849333527
605	0.8721090258	0.1848627714
606	0.8723194169	0.184751557
607	0.872501279	0.1846919038
608	0.8725713605	0.1846302498
609	0.8728378118	0.1845386187
610	0.8730521742	0.1844766079
611	0.8732187991	0.1843978436
612	0.8734837949	0.1842871301
613	0.8735697018	0.1842306427
614	0.8736233903	0.1841605893
615	0.8737341756	0.1840554995
616	0.8739242989	0.183996094
617	0.8739600211	0.1839325993
618	0.873951585	0.1838547915
619	0.8740442385	0.1837600347
620	0.8741383866	0.1836812909
621	0.8743939598	0.1835693789
622	0.8744749295	0.1835083346
623	0.8746002092	0.1834410345
624	0.8747304034	0.1833916183
625	0.874920767	0.1833250654
626	0.8750091075	0.183278286
627	0.8751495367	0.1831863099
628	0.8752320807	0.1831075233
629	0.8754611943	0.1830112241
630	0.8755716879	0.1829403644
631	0.8757088135	0.1829072635
632	0.8758404311	0.1828373311
633	0.8759041622	0.1827845463
634	0.8760194801	0.1827317566
635	0.8761787191	0.1826368031
636	0.876242715	0.1825848077
637	0.8763667613	0.1825411009
638	0.8765941638	0.1824262358
639	0.8767987967	0.1823420943
640	0.8770103321	0.1822490997
641	0.8771665182	0.1821784259
642	0.8773462375	0.1821100317
643	0.877440203	0.1820445145
644	0.8775785903	0.1819527856
645	0.8777392939	0.181893163
646	0.8777803002	0.181813205
647	0.8778699384	0.181779732
648	0.8780065376	0.1816946795
649	0.8780672645	0.181679312
650	0.8781386494	0.1816354581
651	0.8782070344	0.1815712844
652	0.8782991858	0.1815118678
653	0.8784218127	0.181422223
654	0.8786413989	0.1813121345
655	0.8788382423	0.1812556482
656	0.8789227921	0.1811801306
657	0.8791131217	0.1810748516
658	0.8791525518	0.1810129418
659	0.8793719187	0.1809360745
660	0.8794833416	0.1808648968
661	0.8796599147	0.1808015506
662	0.8798965448	0.1806937019
663	0.8799531838	0.1806432536
664	0.8801030857	0.1805864619
665	0.8802935782	0.1805003996
666	0.8805584197	0.1803901008
667	0.8805495359	0.1803185553
668	0.8807658982	0.180243996
669	0.8809073393	0.1801615157
670	0.8809892591	0.1801354601
671	0.8809994745	0.1800997564
672	0.8810271052	0.1800386085
673	0.8811349401	0.1799926719
674	0.88134639	0.1799059371
675	0.8814267654	0.1798278494
676	0.8816259722	0.1797122232
677	0.8818641109	0.1796359163
678	0.882084406	0.179533753
679	0.8822229073	0.1794587088
680	0.8822910942	0.1794232215
681	0.8825357401	0.1793617578
682	0.8825658649	0.1792970619
683	0.8827618643	0.1791862964
684	0.8829805762	0.1790922112
685	0.8831605724	0.1790345411
686	0.8833387108	0.1789466726
687	0.8833136913	0.1789089988
688	0.8834122208	0.1788606961
689	0.8836018038	0.1787704692
690	0.8837263124	0.1786949815
691	0.8839488759	0.1785876107
692	0.8840409754	0.1784939987
693	0.8842065979	0.1784003014
694	0.8844087707	0.1783041699
695	0.8844354446	0.1782498916
696	0.8844988515	0.1781991174
697	0.8845956048	0.1781376879
698	0.8846755618	0.1781011033
699	0.8847644595	0.1780482258
700	0.8847818673	0.1779913207
701	0.8848259652	0.177968588
702	0.8849052225	0.1778962845
703	0.8850391946	0.1778361154
704	0.8851031048	0.1777911996
705	0.8852544789	0.1777077627
706	0.8854848747	0.1776248736
707	0.8855816448	0.1775807062
708	0.885645848	0.1775092171
709	0.885641178	0.1774696424
710	0.8859211113	0.1773937585
711	0.8859705144	0.1773364298
712	0.8860335021	0.17729918
713	0.8860951318	0.1772660091
714	0.8861056337	0.1772455532
715	0.8862273562	0.1771753961
716	0.8863936726	0.1771156969
717	0.8865806842	0.1770206906
718	0.8866603723	0.176965926
719	0.886766296	0.176876119
720	0.8868689002	0.1768263488
721	0.8870582922	0.1767577043
722	0.8871854186	0.1766990114
723	0.8872267762	0.1766188533
724	0.8872736302	0.1765674288
725	0.8875288319	0.1764869998
726	0.8874572936	0.1764221514
727	0.8875916232	0.1763587944
728	0.8877371831	0.1763108059
729	0.8878142737	0.176281294
730	0.8880119269	0.1762176306
731	0.8882066216	0.1761135269
732	0.8882427625	0.1760455032
733	0.8884497611	0.1759838339
734	0.8886052452	0.1758969341
735	0.8887324553	0.1758272902
736	0.8887303143	0.1757824472
737	0.8888518962	0.1757442473
738	0.8889738516	0.1756699013
739	0.8891025231	0.1755866555
740	0.8891625064	0.1755275799
741	0.8894229597	0.1754661511
742	0.8894333099	0.1753646423
743	0.8896118852	0.175279403
744	0.8896538469	0.1752300708
745	0.8898917693	0.175155355
746	0.8899954677	0.1750897837
747	0.8901490485	0.175034093
748	0.8901082174	0.1749742065
749	0.890134217	0.1748868177
750	0.890161286	0.1748484401
751	0.8904254725	0.1747610279
752	0.8906696729	0.1746781734
753	0.8906946758	0.1746494176
754	0.8909575093	0.174562312
755	0.8910617547	0.1744975613
756	0.8911789407	0.1744391067
757	0.8913147871	0.1743735882
758	0.8913656875	0.1743065582
759	0.8914152318	0.1742596626
760	0.8915932234	0.1742062831
761	0.8917374271	0.1740946759
762	0.8920268566	0.1740047536
763	0.892090777	0.1739624006
764	0.8921690032	0.1738948359
765	0.8923916738	0.1738442669
766	0.8924855822	0.1737958597
767	0.8925727583	0.1737313299
768	0.8926027705	0.1737015368
769	0.8927300088	0.173644531
770	0.8927308452	0.1735862895
771	0.8927371549	0.173548051
772	0.8929940381	0.1734787703
773	0.8930890388	0.17340183
774	0.8932096972	0.1733491474
